Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
1590	0.00028834	0.00038246	0.000433796	0.000511827	0.00056759	0.000632979	0.000722996	0.00077865	0.000850585	0.00092705	0.0009965	0.00106833	0.00113432	0.00120771	0.0012899	0.00136321	0.00143943	0.00151048	0.0015823	0.00166664	0.00172189	0.00180538	0.00187004	0.00195845	0.00200749	0.00209951	0.00215898	0.00224647	0.00232362	0.00242437	0.00246583	0.00253725	0.00260367	0.00270002	0.00277684	0.00289172
1595	0.000304224	0.00036302	0.000420592	0.000519075	0.000599897	0.000650238	0.000735127	0.00080066	0.000887437	0.000925587	0.00103332	0.00108918	0.00116505	0.00122156	0.00132999	0.00138853	0.00146394	0.00156299	0.00162938	0.00167951	0.00179274	0.00184168	0.00191976	0.00200518	0.00205033	0.00213655	0.00222338	0.00229668	0.00236755	0.00246975	0.00252473	0.00260756	0.00268675	0.00278243	0.00285647	0.00295611
1600	0.000293603	0.000358676	0.000457004	0.000513687	0.000599932	0.000661364	0.000727269	0.000822828	0.000876736	0.000978663	0.00105752	0.00114531	0.00120712	0.00127265	0.00135785	0.00142677	0.00152462	0.00159742	0.00166224	0.00172653	0.0018064	0.00188453	0.00198498	0.00203549	0.00212375	0.00217987	0.00228741	0.00236354	0.00244213	0.00253058	0.00257948	0.00267555	0.00274385	0.0028513	0.00292692	0.00300539
1605	0.000310978	0.000393513	0.000458302	0.000557447	0.000640771	0.000721374	0.000769987	0.000860606	0.00092155	0.00101727	0.00109699	0.00117363	0.00124984	0.00133017	0.00141679	0.00149765	0.00155853	0.00164876	0.00174659	0.00184422	0.00188581	0.00197584	0.00206591	0.00213885	0.002219	0.00229875	0.00240103	0.00246665	0.00253765	0.00264505	0.00269847	0.00280601	0.00289421	0.00299731	0.00307168	0.003178
1610	0.000361603	0.000444085	0.000516357	0.000592896	0.000676474	0.000758892	0.00083859	0.000936005	0.0010222	0.00109132	0.00121039	0.00129053	0.00136863	0.00147405	0.00155335	0.00162589	0.0017334	0.00179986	0.00189079	0.00197862	0.00205466	0.00214719	0.00221049	0.00229064	0.00241306	0.00250342	0.00258111	0.0026894	0.00277215	0.00287453	0.00295531	0.00304368	0.00315033	0.00323967	0.00334425	0.00345528
1615	0.000422403	0.00050863	0.000624571	0.000723082	0.000836761	0.000916766	0.00103787	0.00114709	0.00124528	0.00137945	0.0014546	0.00155648	0.00165324	0.00178373	0.00188237	0.00198638	0.00211462	0.00222345	0.00234015	0.00244281	0.00253125	0.00264042	0.00275854	0.00289655	0.00300104	0.00308454	0.00320541	0.00333262	0.00342888	0.00355949	0.00367806	0.00377593	0.00389626	0.00403459	0.00410605	0.00423431
1620	9.27762e-005	0.000123138	0.000175838	0.000208979	0.000245018	0.000284412	0.000311013	0.000364954	0.000415754	0.000443487	0.000453868	0.000429126	0.00052979	0.000592564	0.000591509	0.00072081	0.000664491	0.000874766	0.000818604	0.000852518	0.000844019	0.000880655	0.000984236	0.00103645	0.000929421	0.00105574	0.00119445	0.000910964	0.00115313	0.00102389	0.00125011	0.00133907	0.0013157	0.00139151	0.00129785	0.00139781
1625	0.000277082	0.000311588	0.000345317	0.00040416	0.000461644	0.00052239	0.000597229	0.000647383	0.00067464	0.000717837	0.000808978	0.000875046	0.000920786	0.000989295	0.00102762	0.00106156	0.00113036	0.00116542	0.00123084	0.00132293	0.00137797	0.00143945	0.00147773	0.0015085	0.00161078	0.00164958	0.00170907	0.00182263	0.00185982	0.0019353	0.00193994	0.00204011	0.00210181	0.00218815	0.00224192	0.00233217
1630	0.000291657	0.000332422	0.000425844	0.000472225	0.000556324	0.000631448	0.00068732	0.000765195	0.000824014	0.000885701	0.000962339	0.00101968	0.00107291	0.00114009	0.00122583	0.00131946	0.00135014	0.00141802	0.00150726	0.00157016	0.00161718	0.00170192	0.00177875	0.00185202	0.00191133	0.00199675	0.00205426	0.00212849	0.00222073	0.00229592	0.00234249	0.00242017	0.00250112	0.00258126	0.00266803	0.0027479
1635	0.000292331	0.000358208	0.000419958	0.000497803	0.000554539	0.000640638	0.000696117	0.000775473	0.000815714	0.000931002	0.000995109	0.00105616	0.00113553	0.00119379	0.00127628	0.00134161	0.00141341	0.00149092	0.0015815	0.0016163	0.00169491	0.00178789	0.00186461	0.00192846	0.00199033	0.00206993	0.00215229	0.00222514	0.00230006	0.00236401	0.00246593	0.00250479	0.0026278	0.00270577	0.00278849	0.00286385
