Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
1740	-1.69154	-1.7052	-1.71503	-1.70182	-1.73946	-1.72749	-1.71966	-1.72788	-1.74701	-1.72165	-1.72621	-1.73935	-1.72765	-1.75066	-1.73481	-1.74519	-1.72516	-1.7301	-1.73505	-1.72962	-1.73197	-1.72739	-1.74026	-1.73421	-1.73708	-1.72971	-1.73545	-1.73258	-1.73693	-1.73714	-1.73415	-1.74374	-1.75389	-1.74515	-1.74076	-1.74423
1745	-1.7017	-1.75956	-1.71362	-1.72521	-1.73294	-1.72668	-1.73845	-1.737	-1.73527	-1.71949	-1.72587	-1.73359	-1.72223	-1.74181	-1.73177	-1.74017	-1.73056	-1.71703	-1.72832	-1.7328	-1.73192	-1.72871	-1.72736	-1.73644	-1.73603	-1.74268	-1.72933	-1.73942	-1.73315	-1.73362	-1.73774	-1.74268	-1.7451	-1.74433	-1.74329	-1.74174
1750	-1.71677	-1.76834	-1.7151	-1.72319	-1.70251	-1.72024	-1.71808	-1.72124	-1.71419	-1.73121	-1.73719	-1.72482	-1.74366	-1.72998	-1.72624	-1.73614	-1.73427	-1.72262	-1.74227	-1.73337	-1.73279	-1.73353	-1.7383	-1.73782	-1.73431	-1.73155	-1.73096	-1.73093	-1.72882	-1.72708	-1.74251	-1.74156	-1.7516	-1.74151	-1.73882	-1.7411
1755	-1.72395	-1.74515	-1.7428	-1.74404	-1.7336	-1.74453	-1.74815	-1.73274	-1.73444	-1.72844	-1.72614	-1.71286	-1.73708	-1.73042	-1.73817	-1.73123	-1.72277	-1.72452	-1.72871	-1.72752	-1.72907	-1.73906	-1.72488	-1.7357	-1.72732	-1.73353	-1.72823	-1.73099	-1.73498	-1.73464	-1.73309	-1.74196	-1.73789	-1.74476	-1.73928	-1.74069
1760	-1.74659	-1.6982	-1.7452	-1.73376	-1.71767	-1.72494	-1.73162	-1.73851	-1.72419	-1.72916	-1.71298	-1.72589	-1.72373	-1.71708	-1.72615	-1.72005	-1.72278	-1.73376	-1.72445	-1.72285	-1.73012	-1.72668	-1.72907	-1.73891	-1.73047	-1.72551	-1.72929	-1.73487	-1.72906	-1.73227	-1.73942	-1.74351	-1.73612	-1.74303	-1.74246	-1.74089
1765	-1.73084	-1.76292	-1.73691	-1.72926	-1.70321	-1.72965	-1.71717	-1.73863	-1.72348	-1.71265	-1.72663	-1.73366	-1.75229	-1.7071	-1.72553	-1.7313	-1.73675	-1.72951	-1.72911	-1.72301	-1.72403	-1.71925	-1.7215	-1.72473	-1.72962	-1.72905	-1.72437	-1.73168	-1.72482	-1.73035	-1.7422	-1.74367	-1.73773	-1.7382	-1.743	-1.73908
1770	-1.71776	-1.68282	-1.74954	-1.70147	-1.74364	-1.70026	-1.71879	-1.7101	-1.73832	-1.71175	-1.71601	-1.72923	-1.71	-1.71703	-1.72492	-1.72649	-1.7261	-1.72148	-1.71477	-1.72151	-1.7229	-1.72495	-1.726	-1.72	-1.72331	-1.7221	-1.7297	-1.7336	-1.72152	-1.72608	-1.72721	-1.74234	-1.74039	-1.73584	-1.73936	-1.73355
1775	-1.72861	-1.74716	-1.72667	-1.69054	-1.71766	-1.7521	-1.72395	-1.70579	-1.70723	-1.73561	-1.71927	-1.72129	-1.72021	-1.70586	-1.71993	-1.72466	-1.71665	-1.71083	-1.71353	-1.71591	-1.71942	-1.72216	-1.72643	-1.7166	-1.73105	-1.72633	-1.72738	-1.72635	-1.71677	-1.72525	-1.73176	-1.73897	-1.73988	-1.73174	-1.73635	-1.73583
1780	-1.72514	-1.74514	-1.70574	-1.72021	-1.71932	-1.70058	-1.69494	-1.71458	-1.71037	-1.72396	-1.72083	-1.70647	-1.70476	-1.71184	-1.71699	-1.71342	-1.71972	-1.71605	-1.70308	-1.71634	-1.72183	-1.71922	-1.71779	-1.72438	-1.71734	-1.71538	-1.7267	-1.72069	-1.7194	-1.73463	-1.73222	-1.72817	-1.73219	-1.73736	-1.73142	-1.73529
1785	-1.71038	-1.722	-1.73657	-1.72759	-1.71709	-1.71368	-1.71743	-1.70831	-1.70424	-1.72695	-1.71392	-1.71747	-1.70398	-1.70765	-1.71132	-1.71361	-1.70615	-1.71612	-1.71355	-1.72305	-1.71952	-1.7242	-1.72637	-1.71785	-1.72404	-1.7224	-1.72251	-1.72802	-1.72528	-1.72659	-1.72542	-1.73738	-1.73579	-1.73877	-1.7358	-1.73741
