Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.083	1.14873e-005	1.48451e-005	2.91552e-005	7.85688e-006	1.20657e-005	9.23037e-006	6.81792e-006	6.66268e-006	2.40766e-005	1.55892e-005	8.69223e-006	0.074523	0.0681262	0.0611769	0.0558871	0.0488563	0.0412626	0.0343452	0.0308188	0.0254584	0.0206513	0.0173896	0.0121451	0.00912765	6.41313e-005	3.28157e-005	3.09324e-005	1.33198e-005	2.57941e-005	1.18374e-005	1.46044e-005	1.80701e-005	2.18941e-006	1.45088e-005	1.30114e-005
0.086	1.48248e-005	1.33344e-005	2.43911e-005	7.3978e-006	1.70332e-005	1.7227e-005	2.20957e-005	9.27157e-006	3.45748e-007	4.3091e-005	0.0870425	0.0746882	0.0685075	0.0622154	0.0571552	0.0495039	0.0421301	0.0353409	0.0313948	0.0261379	0.021044	0.0174243	0.0120637	0.00891494	0.000366941	3.44975e-005	3.50002e-005	8.86123e-006	2.22421e-005	8.139e-006	2.09851e-005	3.29405e-005	1.14024e-005	2.4359e-005	1.54736e-005
0.089	1.11211e-005	2.43088e-005	2.49504e-005	1.62535e-005	1.63579e-005	1.13249e-005	3.2007e-006	4.33943e-006	1.3208e-005	3.70417e-006	0.0866827	0.0757363	0.0692047	0.0632017	0.0580036	0.0508293	0.0431717	0.036504	0.0321751	0.026411	0.0211995	0.0174415	0.0121319	0.00870484	5.5316e-005	2.6662e-005	1.64626e-005	3.36621e-005	4.96541e-005	8.90053e-006	9.86831e-006	2.99877e-005	2.86293e-005	1.00761e-005	1.56479e-005
0.092	1.23573e-005	1.15083e-005	1.78503e-005	2.62622e-005	9.42579e-006	4.72046e-006	3.06694e-005	2.15328e-005	2.78033e-005	2.11796e-005	0.0874056	0.0772519	0.070166	0.0642205	0.0586711	0.051454	0.043965	0.0373944	0.0326725	0.0267516	0.0215156	0.017487	0.012279	0.00832366	5.74112e-005	1.43659e-005	2.11949e-005	2.06586e-005	2.32e-005	1.75394e-005	2.35798e-005	1.22936e-005	1.74252e-005	1.35597e-005	8.79168e-006
0.095	1.65235e-005	1.98729e-005	1.87004e-005	1.48213e-005	1.10756e-005	3.74223e-006	9.18691e-006	1.55277e-005	2.21664e-005	0.10211	0.0882395	0.0779738	0.0707965	0.0654944	0.0600496	0.0517516	0.0447251	0.0383818	0.0329426	0.0269251	0.0218999	0.0174437	0.0123885	0.00833494	5.75143e-005	1.18422e-005	2.14529e-005	9.51274e-006	1.84821e-005	2.93233e-005	4.42295e-006	1.75524e-005	4.80557e-006	6.72741e-006	2.48437e-005
0.098	1.22995e-005	1.15989e-005	1.6042e-005	1.26733e-005	2.1984e-005	1.34568e-005	2.34183e-005	4.94969e-006	3.50418e-006	0.101255	0.0888222	0.0788584	0.0714642	0.0662167	0.0609961	0.0526001	0.0450073	0.0392328	0.0333022	0.0272486	0.0223154	0.0174013	0.0125798	0.00806886	0.00015883	5.7852e-006	2.15186e-005	1.71295e-005	1.5538e-005	2.56598e-005	1.44727e-005	3.43525e-006	2.25819e-005	1.76289e-005	1.78063e-005
0.101	2.63526e-005	6.63044e-006	9.17483e-006	1.30086e-005	2.1922e-005	2.75373e-006	1.44237e-005	1.29112e-005	2.18597e-005	0.101189	0.0896349	0.0795904	0.0725797	0.0673914	0.0617627	0.0530236	0.0459377	0.0401378	0.0336877	0.027627	0.0225449	0.0179222	0.0125282	0.00783293	6.4864e-005	4.20033e-005	2.772e-005	2.12114e-005	9.63292e-006	1.40262e-005	1.88467e-005	1.72455e-005	8.67322e-006	8.2074e-006	1.77445e-005
0.104	1.66946e-005	1.45074e-005	5.41054e-006	1.50055e-005	1.26365e-005	7.78406e-006	2.85567e-006	2.21699e-005	1.60176e-005	0.101788	0.0903139	0.0790373	0.073218	0.0685156	0.0624918	0.0538926	0.0465122	0.040762	0.0340533	0.0277291	0.0224878	0.0179515	0.0125498	0.007205	1.61674e-005	9.01445e-006	1.26928e-005	3.57027e-005	3.90462e-006	2.71737e-005	4.19818e-005	6.57473e-006	1.09731e-005	1.67498e-005	1.13771e-005
0.107	1.5939e-006	2.7294e-006	1.31667e-005	1.76312e-005	1.75137e-005	2.53148e-005	2.90324e-005	1.55206e-005	7.84955e-006	0.102089	0.0913185	0.0806386	0.0739475	0.0696641	0.0632021	0.0542254	0.0470943	0.041316	0.0343933	0.0281559	0.0226647	0.0182176	0.0125547	0.00694311	2.17242e-005	1.35051e-005	1.84735e-005	1.46305e-005	2.6291e-005	1.32545e-006	1.57509e-005	2.35689e-005	7.10697e-006	2.21901e-005	1.70958e-005
0.11	1.60495e-005	6.81548e-006	3.22824e-005	3.37174e-005	1.63646e-005	1.39736e-005	1.65256e-005	2.13564e-005	1.86992e-005	0.102813	0.0919378	0.0815962	0.0748969	0.0701674	0.0636187	0.0548805	0.0478346	0.0417625	0.0347306	0.0285426	0.0229812	0.018396	0.0125336	0.00649343	1.09642e-005	1.22815e-005	4.6968e-006	1.91726e-005	4.25626e-005	3.15907e-005	1.51746e-005	1.13185e-005	1.15767e-005	3.34222e-005	2.22437e-005
0.113	1.48996e-005	1.52575e-005	1.53342e-005	5.04347e-006	2.03025e-005	7.28506e-006	5.2894e-006	2.67931e-005	1.80034e-005	0.103546	0.0927751	0.0825735	0.0758888	0.0706156	0.0644462	0.0549471	0.0483496	0.0420163	0.0343573	0.0284948	0.0229474	0.0183603	0.0126067	0.0062446	4.17174e-005	1.75898e-005	1.42339e-005	1.46163e-005	7.77132e-006	5.37172e-006	2.66486e-005	2.00459e-005	1.49528e-005	1.75303e-005	2.16233e-005
0.116	1.20904e-005	1.96337e-005	1.10122e-005	1.18416e-005	1.64238e-005	1.53439e-005	1.42621e-005	1.66013e-005	1.37898e-005	0.104252	0.093204	0.0833551	0.0762892	0.071022	0.0649092	0.0556979	0.049175	0.0425983	0.0347961	0.0286443	0.0230469	0.0185659	0.0121929	0.00605136	9.72175e-006	1.33853e-005	1.51447e-005	9.66434e-006	5.48641e-006	1.26895e-005	2.60697e-005	1.27684e-005	3.31343e-006	1.87512e-005	1.805e-005
0.119	2.21972e-005	2.28954e-005	1.29118e-005	1.02195e-005	2.42009e-005	1.49367e-005	1.52705e-005	8.65259e-006	7.57007e-006	0.104738	0.0943324	0.0843907	0.0772034	0.0715877	0.0654522	0.0565559	0.0498955	0.0429445	0.0349954	0.0288301	0.0233994	0.018557	0.0123221	0.00566212	1.49799e-005	2.14278e-005	1.54633e-005	1.96475e-005	1.81257e-005	2.07275e-006	1.14665e-005	1.98941e-005	1.2524e-005	1.61979e-005	1.32539e-005
0.122	1.09512e-005	2.13786e-005	1.4763e-005	1.67504e-005	1.31508e-005	1.60612e-005	2.37773e-005	4.89981e-006	4.42014e-005	0.105242	0.0948717	0.0853864	0.0777232	0.0721992	0.0658222	0.0569509	0.0504068	0.0433356	0.0352378	0.0289061	0.0236528	0.018496	0.0123309	0.00498137	1.80135e-005	1.52165e-005	2.32999e-005	2.12093e-005	2.02882e-005	1.98473e-005	1.15457e-005	1.94559e-005	1.74199e-005	6.7137e-006	1.04334e-005
0.125	3.88106e-006	8.55011e-006	1.51732e-005	1.13837e-005	9.71702e-006	1.53272e-005	3.66432e-006	1.68696e-005	0.120041	0.106046	0.0956604	0.0864099	0.0780818	0.0725173	0.0661261	0.0571621	0.0506564	0.0433343	0.0355659	0.0292527	0.0237986	0.0185026	0.0121974	0.00417971	2.3545e-005	1.6642e-005	1.92068e-005	1.19015e-005	1.57989e-005	1.33823e-005	2.80092e-005	2.43549e-005	7.62498e-006	1.85353e-005	1.40313e-005
0.128	1.21959e-005	5.82687e-006	2.65134e-005	9.20974e-006	1.61309e-005	1.29076e-005	3.67948e-006	7.2677e-005	0.117317	0.106824	0.0962776	0.0876242	0.0785899	0.073243	0.0664129	0.0573476	0.0509554	0.0436332	0.0359755	0.0295398	0.0238874	0.0185835	0.0119911	0.0035628	2.49478e-005	7.76327e-006	1.83203e-005	1.4652e-005	5.93763e-006	1.4292e-005	2.11284e-005	7.73452e-006	8.10936e-006	5.75751e-006	1.51988e-005
