Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.098	0.991748	1.43807	1.02193	0.953264	0.931712	0.918449	0.909755	0.902197	0.893626	1.02628	0.984872	0.965908	0.962198	0.95406	0.953581	0.902365	0.893391	1.81794	0.948125	0.858682	0.838082	0.818209	0.801096	0.79027	0.779653	0.770855	0.76313	0.754157	0.749355	0.739957	0.734443	0.727322	0.774122	0.720685	0.708773
0.101	0.99103	1.42183	1.01959	0.951474	0.930623	0.916657	0.908491	0.899694	0.892487	1.01021	0.984644	0.958741	0.956993	0.954221	0.948532	0.898157	0.895126	1.78132	0.945069	0.856142	0.834748	0.814776	0.798441	0.786949	0.778445	0.769666	0.760063	0.752121	0.746835	0.738585	0.731895	0.724569	0.76991	0.71825	0.705444
0.104	0.990855	1.40761	1.0165	0.949536	0.928253	0.915898	0.906294	0.899155	0.890719	1.00557	0.973782	0.949828	0.95034	0.94801	0.945183	0.895904	0.888585	1.74816	0.941517	0.853837	0.831856	0.812501	0.796166	0.785366	0.775958	0.768235	0.758198	0.749766	0.743903	0.734478	0.728323	0.721376	0.765331	0.71676	0.70367
0.107	0.988941	1.39339	1.01342	0.947145	0.926336	0.913073	0.905443	0.896759	0.889255	0.9932	0.973829	0.945496	0.940927	0.943985	0.941183	0.88952	0.889533	1.71754	0.939911	0.852327	0.830282	0.810682	0.794171	0.783178	0.77318	0.763696	0.755199	0.748676	0.742256	0.736077	0.726609	0.720793	0.761201	0.713634	0.70241
0.11	0.987704	1.37986	1.01059	0.945393	0.924773	0.911956	0.904039	0.896131	0.887312	0.986004	0.964002	0.942284	0.938429	0.938827	0.934769	0.886955	0.886982	1.69162	0.937058	0.850665	0.825555	0.807761	0.791249	0.780342	0.772524	0.761384	0.753522	0.747063	0.739614	0.732603	0.724478	0.717832	0.759141	0.712153	0.699454
0.113	0.987598	1.36715	1.00777	0.943948	0.923514	0.910101	0.901957	0.894199	0.885636	0.982105	0.961693	0.940806	0.931711	0.938644	0.933335	0.883565	0.885965	1.66629	0.93406	0.847684	0.825636	0.805252	0.789277	0.77953	0.769443	0.759577	0.752899	0.744403	0.738178	0.73165	0.723254	0.716789	0.756265	0.709044	0.698455
0.116	0.98685	1.35458	1.00557	0.941771	0.922433	0.907902	0.900895	0.892002	0.884994	0.976462	0.953228	0.935848	0.927858	0.937684	0.926847	0.88259	0.88128	1.64365	0.93197	0.846143	0.822175	0.804023	0.788893	0.777941	0.767685	0.757467	0.750331	0.743271	0.737691	0.727102	0.722745	0.714259	0.751942	0.706628	0.695228
0.119	0.985906	1.34353	1.00352	0.941304	0.919851	0.907316	0.898947	0.891584	0.882241	0.968472	0.953589	0.933559	0.924478	0.935056	0.924302	0.879353	0.880783	1.62436	0.929616	0.843633	0.819773	0.802166	0.785893	0.776389	0.76578	0.756341	0.747795	0.741027	0.733886	0.726222	0.718775	0.711843	0.750163	0.705459	0.693683
0.122	0.984806	1.33187	1.00014	0.93893	0.918382	0.905522	0.897526	0.890117	0.88069	0.968477	0.944027	0.924475	0.923309	0.930815	0.921035	0.876406	0.879357	1.60238	0.927189	0.842199	0.819389	0.798428	0.783812	0.773662	0.764199	0.75418	0.745703	0.737975	0.732144	0.724981	0.717558	0.708941	0.74679	0.704322	0.691765
0.125	0.9842	1.32199	0.998332	0.938252	0.918049	0.905007	0.895866	0.888391	1.00753	0.959316	0.93989	0.922292	0.917604	0.926397	0.917449	0.87405	0.875655	1.58468	0.924971	0.839586	0.817406	0.797695	0.782426	0.771692	0.762336	0.753107	0.744424	0.736289	0.730581	0.722377	0.71608	0.708554	0.743946	0.70053	0.690145
0.128	0.98259	1.31199	0.996798	0.935644	0.915997	0.903306	0.89409	0.88739	0.9913	0.952933	0.936305	0.920455	0.913765	0.924253	0.912679	0.871137	0.874843	1.56669	0.923336	0.838885	0.816514	0.795258	0.779521	0.769606	0.75964	0.751651	0.742467	0.73549	0.728628	0.720776	0.714161	0.706041	0.742257	0.699079	0.68831
