Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.098	-2.48378	-2.61121	-2.60137	-2.62016	-2.58946	-1.83719	-2.61436	-2.62409	-2.56269	-2.57585	-2.65598	-2.84395	-2.73163	-2.53028	-2.61076	-2.5743	-2.33609	-2.4959	-3.00445	-2.97135	2.39482	-1.37419	-1.6056	-1.8326	-2.38911	-2.94922	2.51757	0.942119	-0.172472	-1.12006	-1.64854
0.101	-2.46093	-2.59834	-2.62414	-2.60465	-2.59686	-1.83805	-2.60446	-2.6276	-2.58608	-2.58137	-2.65672	-2.83977	-2.76942	-2.52759	-2.58138	-2.54367	-2.32615	-2.48932	-3.00014	-2.9925	2.37821	-1.36041	-1.63395	-1.83112	-2.40685	-2.95713	2.50579	0.925387	-0.166508	-1.10573	-1.62033
0.104	-2.45634	-2.6155	-2.63569	-2.58568	-2.6045	-1.8541	-2.60112	-2.62703	-2.5902	-2.60158	-2.65823	-2.83187	-2.76471	-2.52121	-2.58115	-2.55494	-2.33973	-2.49655	-3.00589	-2.97664	2.36356	-1.36476	-1.58308	-1.83524	-2.40464	-2.93889	2.48597	0.883367	-0.173264	-1.09811	-1.61354
0.107	-2.45046	-2.61019	-2.62701	-2.60536	-2.59538	-1.82081	-2.61172	-2.62721	-2.58646	-2.58456	-2.66981	-2.82962	-2.78473	-2.55872	-2.59866	-2.54854	-2.30264	-2.49268	-3.00528	-2.97264	2.33093	-1.33599	-1.56787	-1.83156	-2.4152	-2.94941	2.48261	0.902469	-0.173721	-1.11122	-1.61085
0.11	-2.46321	-2.60887	-2.61648	-2.61882	-2.59813	-1.85257	-2.62322	-2.62802	-2.58023	-2.58359	-2.66569	-2.83236	-2.77366	-2.5303	-2.59955	-2.54409	-2.33259	-2.49391	-3.02355	-2.99008	2.33743	-1.31993	-1.58919	-1.80522	-2.41415	-2.95176	2.47487	0.858243	-0.167619	-1.10211	-1.56713
0.113	-2.47742	-2.60389	-2.62456	-2.6087	-2.61167	-1.8237	-2.60894	-2.63432	-2.57097	-2.56797	-2.66797	-2.83558	-2.79005	-2.52774	-2.57939	-2.54078	-2.32567	-2.49982	-3.0117	-2.99051	2.37539	-1.31848	-1.54603	-1.83437	-2.40805	-2.93977	2.44408	0.827515	-0.1856	-1.09176	-1.57311
0.116	-2.46404	-2.61818	-2.61559	-2.6148	-2.60586	-1.84249	-2.62284	-2.62371	-2.58326	-2.57883	-2.66869	-2.83777	-2.77238	-2.55333	-2.60337	-2.53416	-2.31844	-2.50927	-3.01377	-2.97548	2.34784	-1.32138	-1.51123	-1.80783	-2.39971	-2.98154	2.48984	0.82901	-0.178559	-1.07428	-1.57209
0.119	-2.46529	-2.62578	-2.61465	-2.61727	-2.60804	-1.78086	-2.61841	-2.62657	-2.57736	-2.57263	-2.67302	-2.84247	-2.76793	-2.51952	-2.6039	-2.5289	-2.3097	-2.50744	-3.01975	-2.97664	2.33732	-1.36788	-1.46217	-1.80377	-2.40425	-2.97607	2.44796	0.81346	-0.177995	-1.07592	-1.55049
0.122	-2.45266	-2.61015	-2.62693	-2.61463	-2.59675	-1.79733	-2.62369	-2.64838	-2.58727	-2.59327	-2.65829	-2.8451	-2.76225	-2.54385	-2.58944	-2.52845	-2.31465	-2.51166	-3.0298	-2.98303	2.35018	-1.23091	-1.51609	-1.82314	-2.41283	-2.96777	2.42552	0.783679	-0.201422	-1.07368	-1.57416
0.125	-2.46759	-2.617	-2.63395	-2.61143	-2.601	-1.81798	-2.60728	-2.63865	-2.5824	-2.58148	-2.68109	-2.84746	-2.79368	-2.54171	-2.59102	-2.54757	-2.31353	-2.49771	-3.03554	-3.00807	2.30303	-1.25925	-1.48243	-1.7894	-2.40832	-2.96678	2.42778	0.788274	-0.194421	-1.0497	-1.59114
0.128	-2.44184	-2.60724	-2.62242	-2.61593	-2.60952	-1.79966	-2.61453	-2.64202	-2.5938	-2.60649	-2.6794	-2.84591	-2.78572	-2.53903	-2.58674	-2.54556	-2.32588	-2.49324	-3.04191	-2.97512	2.31296	-1.25507	-1.43765	-1.80008	-2.40886	-2.9623	2.42259	0.779328	-0.198074	-1.06042	-1.6137
0.131	-2.45184	-2.62263	-2.63603	-2.6227	-2.61563	-1.79274	-2.6127	-2.64453	-2.58734	-2.57727	-2.67602	-2.84835	-2.77926	-2.53479	-2.59149	-2.53187	-2.31508	-2.50032	-3.03222	-2.9957	2.28325	-1.22464	-1.49912	-1.78666	-2.39394	-2.9856	2.40691	0.729479	-0.192303	-1.05518	-1.61367
0.134	-2.4468	-2.61637	-2.62249	-2.62242	-2.60729	-1.75645	-2.61659	-2.63187	-2.56764	-2.58223	-2.68473	-2.8409	-2.79016	-2.53924	-2.60486	-2.52258	-2.28294	-2.48808	-3.02385	-2.99977	2.28481	-1.17915	-1.41082	-1.78678	-2.38912	-2.9647	2.40433	0.753065	-0.216106	-1.07112	-1.66973
0.137	-2.44278	-2.62292	-2.64036	-2.61487	-2.61162	-1.77935	-2.61083	-2.63884	-2.57548	-2.58633	-2.66907	-2.85064	-2.77188	-2.5469	-2.57862	-2.54086	-2.31622	-2.4907	-3.00637	-3.00482	2.25564	-1.23017	-1.39295	-1.78354	-2.39182	-2.97472	2.37963	0.708433	-0.212805	-1.06465	-1.69641
0.14	-2.46513	-2.61529	-2.6432	-2.61752	-2.61172	-1.7824	-2.6299	-2.63236	-2.58928	-2.59762	-2.67893	-2.8575	-2.79676	-2.53931	-2.59658	-2.54044	-2.28504	-2.49113	-3.01018	-2.99186	2.25185	-1.15897	-1.43008	-1.76139	-2.38969	-2.96871	2.37778	0.693375	-0.215945	-1.08239	-1.71445
0.143	-2.44511	-2.61474	-2.62812	-2.6222	-2.61531	-1.77013	-2.6262	-2.63483	-2.58056	-2.58609	-2.66317	-2.84383	-2.79717	-2.51969	-2.58304	-2.54694	-2.30002	-2.63025	-3.00115	-3.01554	2.25877	-1.16973	-1.41781	-1.75028	-2.39046	-2.97913	2.34062	0.656665	-0.245848	-1.11949	-1.71649
0.146	-2.45718	-2.62872	-2.63771	-2.60998	-2.62638	-1.76816	-2.6288	-2.6441	-2.59139	-2.57994	-2.66634	-2.85351	-2.81041	-2.55006	-2.582	-2.54475	-2.29992	-2.62618	-3.0429	-2.98268	2.26067	-1.15112	-1.40238	-1.75255	-2.3816	-2.98289	2.34034	0.639971	-0.239324	-1.16851	-1.75168
0.149	-2.44784	-2.62071	-2.6341	-2.62211	-2.61122	-1.76272	-2.62391	-2.64262	-2.58894	-2.58842	-2.67595	-2.86377	-2.79277	-2.54163	-2.60712	-2.53681	-2.3081	-2.61922	-3.01196	-3.01579	2.25642	-1.1455	-1.39002	-1.75384	-2.38831	-2.97088	2.31839	0.617981	-0.262591	-1.22287	-1.7677
