Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.089	0.779513	0.746963	0.728759	0.709306	0.679664	0.656903	0.619269	0.602497	0.6814	0.661114	0.646247	0.545863	0.596999	0.564292	0.0112148	0.0230724	0.0627264	0.104462	0.207671	0.535794	0.535541	0.598845	0.53964	0.457487	0.425853	0.406535	0.380079	0.365721	0.351686	0.336292	0.3108	0.283758	0.268846	0.249778	0.173984	0.268069	0.227427	0.203862	0.163428	0.0487078	0.31342	0.238861	0.208539	0.189597	0.176925	0.169866	0.168058	0.145851	0.129014	0.127756	0.117479	0.113131	0.104646	0.103398	0.0975308	0.0934637	0.0707948
0.092	0.782646	0.757338	0.740004	0.717673	0.697967	0.670232	0.629859	0.621882	0.699083	0.674348	0.659311	0.557882	0.623781	0.579787	0.0115506	0.0228777	0.0634907	0.10432	0.201723	0.541718	0.544908	0.61699	0.55654	0.48346	0.437974	0.42194	0.394465	0.38005	0.373352	0.351258	0.339742	0.313064	0.270635	0.253227	0.189624	0.28009	0.234182	0.207937	0.165879	0.054043	0.337519	0.252944	0.222966	0.20455	0.189194	0.180082	0.164161	0.152005	0.141989	0.134131	0.125069	0.122326	0.112	0.108765	0.107262	0.0932634	0.0740634
0.095	0.791039	0.764554	0.748318	0.730365	0.706403	0.677935	0.64801	0.639033	0.7162	0.683366	0.675772	0.572284	0.64331	0.604861	0.01186	0.0239208	0.0626137	0.104186	0.19883	0.55667	0.555493	0.630409	0.565409	0.49117	0.45756	0.425865	0.407062	0.390654	0.384513	0.354885	0.336623	0.322156	0.291613	0.252873	0.195429	0.293548	0.253184	0.21709	0.178858	0.055649	0.336801	0.261065	0.234165	0.20792	0.200577	0.183965	0.182367	0.162242	0.146117	0.141327	0.131993	0.12648	0.124687	0.113227	0.11447	0.10205	0.076134
0.098	0.797376	0.776942	0.754923	0.736211	0.720466	0.69026	0.656242	0.645255	0.721504	0.700618	0.677906	0.579303	0.655906	0.617633	0.0126284	0.0240647	0.0626247	0.104489	0.197332	0.574776	0.568951	0.64512	0.585282	0.51512	0.461558	0.4356	0.421656	0.40437	0.3962	0.367524	0.350618	0.327175	0.303677	0.28023	0.203655	0.300902	0.257796	0.224698	0.187089	0.0593483	0.353766	0.272889	0.240285	0.219555	0.208581	0.194121	0.191165	0.160415	0.153535	0.144423	0.141981	0.136228	0.123812	0.119117	0.111809	0.107108	0.0802261
0.101	0.80446	0.786443	0.767185	0.746844	0.731951	0.701933	0.668673	0.661912	0.735631	0.708525	0.69026	0.613423	0.670588	0.633987	0.0127225	0.0242876	0.0615907	0.101047	0.199751	0.579159	0.575367	0.657459	0.593771	0.531979	0.4861	0.460509	0.442962	0.420189	0.409469	0.388161	0.368166	0.337234	0.316383	0.29354	0.210343	0.313506	0.267744	0.23268	0.196925	0.0679285	0.357435	0.287664	0.249174	0.231724	0.215128	0.204905	0.194979	0.173523	0.162824	0.157904	0.152611	0.142453	0.138347	0.128774	0.115092	0.117861	0.084274
0.104	0.810443	0.795963	0.777709	0.755588	0.741394	0.710555	0.677406	0.674759	0.744617	0.72005	0.696455	0.630767	0.681923	0.649072	0.0131057	0.024449	0.0621504	0.10101	0.195076	0.595554	0.591261	0.671551	0.609492	0.544931	0.50319	0.471495	0.458455	0.431965	0.42174	0.39859	0.377015	0.348094	0.334483	0.297216	0.216587	0.326228	0.274944	0.254658	0.204102	0.0688989	0.385426	0.291256	0.259745	0.238398	0.216461	0.20437	0.204481	0.183415	0.171864	0.157924	0.157595	0.147143	0.142392	0.13528	0.124345	0.120144	0.0911308
0.107	0.818224	0.803191	0.787378	0.770431	0.748127	0.7186	0.686393	0.686671	0.754891	0.730534	0.706976	0.655916	0.694324	0.0114507	0.0131103	0.0255129	0.062532	0.100162	0.19273	0.593006	0.600971	0.684155	0.623906	0.560578	0.51596	0.482663	0.466334	0.439217	0.43344	0.406146	0.388636	0.366912	0.344994	0.304238	0.220013	0.334066	0.286433	0.25865	0.202844	0.0739268	0.396293	0.299699	0.272827	0.253196	0.229547	0.225899	0.208459	0.191034	0.181968	0.165836	0.155672	0.159194	0.137991	0.14022	0.128749	0.123643	0.0933918
0.11	0.826835	0.807079	0.792438	0.774667	0.751905	0.730566	0.693482	0.698435	0.758892	0.740644	0.711064	0.680316	0.702227	0.0118194	0.0137009	0.0255037	0.0617007	0.0978074	0.187699	0.608724	0.598592	0.699007	0.641316	0.568515	0.527162	0.494404	0.480264	0.469903	0.439253	0.423463	0.401163	0.376023	0.349468	0.327476	0.23901	0.343444	0.300768	0.27273	0.219244	0.0842986	0.401118	0.323553	0.277483	0.260456	0.245609	0.238599	0.225797	0.197303	0.185576	0.178678	0.172123	0.157615	0.151623	0.144875	0.140239	0.132778	0.0958661
0.113	0.830306	0.816402	0.796522	0.779317	0.764964	0.737156	0.706568	0.705337	0.768202	0.746676	0.712937	0.693935	0.720424	0.0121003	0.0139507	0.0267026	0.0616643	0.0981436	0.186244	0.623573	0.609958	0.706403	0.645572	0.580558	0.536484	0.510239	0.498587	0.466641	0.453004	0.428573	0.411812	0.391497	0.365145	0.329311	0.246019	0.367523	0.316931	0.284278	0.224716	0.0852788	0.410764	0.321517	0.298858	0.264642	0.255311	0.250683	0.218755	0.203019	0.198622	0.182509	0.181738	0.162802	0.162621	0.150712	0.145618	0.133515	0.10072
0.116	0.833971	0.819871	0.808215	0.788442	0.765882	0.749278	0.718376	0.72258	0.779937	0.753533	0.721037	0.718529	0.735889	0.012493	0.0141796	0.0259903	0.061262	0.0968191	0.179645	0.627229	0.628825	0.720032	0.660068	0.586325	0.551326	0.530557	0.498984	0.486121	0.471832	0.44387	0.423308	0.402541	0.372564	0.341948	0.251802	0.364351	0.322706	0.287029	0.222285	0.0919979	0.426635	0.333513	0.3022	0.282216	0.25841	0.2492	0.230312	0.219259	0.202227	0.193669	0.185365	0.176953	0.165041	0.152531	0.146801	0.14424	0.10775
