Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.098	0.0091567	0.00856595	0.00871363	0.00827057	0.00797519	0.00753213	0.0091567	0.00871363	0.0078275	0.00767981	0.00797519	0.0078275	0.00871363	0.00708906	0.00738444	0.00738444	0.00738444	0.00797519	0.0518387	0.0341161	0.0205287	0.0116674	0.00664599	0.00841826	0.00841826	0.00723675	0.0064983	0.00590755	0.00738444	0.00827057	0.00738444
0.101	0.00841826	0.0091567	0.00886132	0.00797519	0.0078275	0.00753213	0.00989514	0.00797519	0.00871363	0.00856595	0.00856595	0.00738444	0.00694137	0.00738444	0.00664599	0.00679368	0.00841826	0.00753213	0.0518387	0.0351499	0.0206764	0.0121105	0.0064983	0.00827057	0.00812288	0.00767981	0.00753213	0.00635062	0.00723675	0.00871363	0.00708906
0.104	0.00856595	0.00959977	0.00945208	0.00886132	0.00797519	0.00635062	0.00841826	0.00959977	0.00797519	0.00900901	0.0091567	0.00856595	0.00812288	0.00708906	0.00723675	0.00738444	0.00767981	0.00841826	0.0530203	0.0351499	0.0215626	0.0128489	0.00635062	0.00812288	0.00886132	0.00827057	0.00753213	0.0064983	0.00841826	0.00930439	0.00738444
0.107	0.00930439	0.0100428	0.00930439	0.00886132	0.00856595	0.00723675	0.0091567	0.00900901	0.00797519	0.00827057	0.00900901	0.0078275	0.00738444	0.00797519	0.00767981	0.00753213	0.00767981	0.0078275	0.0546448	0.0361837	0.0224487	0.0121105	0.0064983	0.00841826	0.00812288	0.00856595	0.00708906	0.00708906	0.00708906	0.00930439	0.00723675
0.11	0.00886132	0.0101905	0.00900901	0.00900901	0.00900901	0.00708906	0.00959977	0.0091567	0.00841826	0.00871363	0.00841826	0.00900901	0.00708906	0.00738444	0.00694137	0.00708906	0.00841826	0.00841826	0.0533156	0.0378083	0.0233348	0.013292	0.0064983	0.00856595	0.00856595	0.00827057	0.00841826	0.00708906	0.00767981	0.00989514	0.00767981
0.113	0.00886132	0.00989514	0.00945208	0.00959977	0.00797519	0.0064983	0.00959977	0.00886132	0.00856595	0.00959977	0.00841826	0.00856595	0.00738444	0.00694137	0.00723675	0.00738444	0.00753213	0.00841826	0.0540541	0.0370699	0.0231871	0.0127012	0.00635062	0.00871363	0.00900901	0.00871363	0.00797519	0.00679368	0.0078275	0.00974746	0.00797519
0.116	0.00900901	0.00959977	0.0101905	0.00841826	0.00930439	0.00753213	0.00945208	0.00900901	0.00871363	0.00841826	0.00930439	0.00856595	0.00856595	0.00812288	0.0078275	0.00797519	0.00753213	0.00797519	0.0544971	0.037956	0.0234825	0.0121105	0.00723675	0.00871363	0.00856595	0.00930439	0.00856595	0.00753213	0.00753213	0.0103382	0.00812288
0.119	0.00841826	0.00945208	0.00989514	0.0091567	0.00827057	0.00812288	0.00974746	0.00900901	0.00886132	0.00900901	0.00856595	0.00856595	0.00723675	0.00723675	0.00738444	0.00753213	0.0078275	0.00827057	0.0539064	0.0382514	0.0240733	0.0125535	0.00694137	0.00841826	0.00900901	0.0078275	0.00827057	0.00620293	0.0078275	0.0100428	0.00856595
0.122	0.00989514	0.00989514	0.00945208	0.00959977	0.00856595	0.00738444	0.0100428	0.00945208	0.00886132	0.00945208	0.00974746	0.00812288	0.00871363	0.00723675	0.00812288	0.00767981	0.00797519	0.00930439	0.0553833	0.0389898	0.0240733	0.0127012	0.00708906	0.00871363	0.00945208	0.00797519	0.00841826	0.00679368	0.00827057	0.00959977	0.00856595
0.125	0.00856595	0.00989514	0.00886132	0.00945208	0.00841826	0.00708906	0.00930439	0.00930439	0.00945208	0.00886132	0.00871363	0.00797519	0.00812288	0.00827057	0.00841826	0.0078275	0.00827057	0.00945208	0.0552356	0.0389898	0.0256978	0.0128489	0.00620293	0.00900901	0.00886132	0.00886132	0.00753213	0.00738444	0.00812288	0.00974746	0.00886132
0.128	0.00945208	0.0100428	0.0091567	0.00945208	0.00886132	0.00738444	0.0101905	0.00886132	0.00856595	0.00856595	0.00871363	0.00945208	0.00797519	0.00812288	0.0078275	0.00723675	0.00797519	0.00930439	0.0562694	0.0391375	0.0261409	0.0127012	0.00605524	0.0091567	0.0091567	0.0091567	0.00694137	0.00753213	0.00827057	0.0115197	0.0091567
0.131	0.0091567	0.00974746	0.0104859	0.00959977	0.00945208	0.00694137	0.00945208	0.0091567	0.00856595	0.00945208	0.00974746	0.0091567	0.00767981	0.0078275	0.0078275	0.00827057	0.0078275	0.00974746	0.0570078	0.0394329	0.0251071	0.013292	0.00708906	0.0091567	0.00974746	0.00930439	0.00708906	0.00767981	0.00827057	0.0112243	0.00989514
0.134	0.00900901	0.00945208	0.00959977	0.0100428	0.00930439	0.00753213	0.00974746	0.00959977	0.00871363	0.0091567	0.00886132	0.0091567	0.0078275	0.00797519	0.00797519	0.00738444	0.00856595	0.00812288	0.0573032	0.0401713	0.027027	0.0134397	0.00679368	0.0091567	0.00959977	0.0091567	0.00827057	0.0064983	0.00974746	0.010929	0.00989514
0.137	0.0101905	0.0103382	0.0091567	0.0106336	0.00900901	0.00738444	0.00989514	0.00959977	0.00886132	0.0091567	0.00974746	0.00841826	0.00856595	0.00841826	0.00856595	0.00767981	0.00827057	0.00930439	0.0571555	0.0401713	0.026584	0.0137351	0.00708906	0.00856595	0.00959977	0.00856595	0.00797519	0.00738444	0.00827057	0.0118151	0.00959977
0.14	0.00974746	0.0103382	0.00945208	0.00945208	0.0091567	0.00797519	0.00974746	0.0106336	0.00900901	0.00930439	0.00989514	0.00974746	0.00856595	0.00708906	0.00945208	0.00856595	0.00856595	0.00886132	0.0581894	0.0406144	0.0264363	0.0144735	0.00694137	0.00945208	0.00989514	0.00886132	0.00797519	0.00738444	0.0091567	0.0124059	0.0100428
0.143	0.00989514	0.0103382	0.0100428	0.0104859	0.00989514	0.00738444	0.0106336	0.00974746	0.00930439	0.00945208	0.0101905	0.00856595	0.00871363	0.0078275	0.00827057	0.00797519	0.00812288	0.0841826	0.0584847	0.0419436	0.0273224	0.0129966	0.00694137	0.00974746	0.00989514	0.00900901	0.00767981	0.00767981	0.00871363	0.0125535	0.0103382
0.146	0.00974746	0.0104859	0.0106336	0.0101905	0.00930439	0.00738444	0.0101905	0.00974746	0.0091567	0.0101905	0.00974746	0.00974746	0.00900901	0.00827057	0.00841826	0.00753213	0.00753213	0.084478	0.058337	0.0435682	0.0279132	0.0146212	0.00635062	0.00930439	0.00945208	0.00959977	0.00812288	0.00767981	0.0091567	0.0137351	0.010929
0.149	0.00974746	0.0104859	0.0103382	0.00989514	0.00974746	0.00767981	0.0104859	0.00945208	0.00900901	0.0103382	0.0091567	0.00945208	0.00886132	0.00945208	0.00812288	0.00827057	0.00856595	0.0815242	0.0586324	0.0432728	0.0267317	0.0135874	0.00723675	0.0106336	0.0101905	0.00856595	0.0078275	0.00738444	0.00989514	0.0150643	0.011372
