Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.104	0.00135418	0.00150782	0.0013904	0.00130113	0.00120984	0.000724627	0.00149826	0.00132734	0.00121585	0.00124801	0.00129148	0.00116719	0.000865652	0.000894217	0.000922933	0.00080959	0.000904669	0.00114516	0.0008689	0.000841001	0.000574786	0.000347559	0.000467885	0.00113395	0.00122442	0.00107971	0.00073423	0.000479015	0.00080155	0.00132831	0.000819884
0.107	0.00138794	0.00155227	0.00142248	0.00133594	0.00122974	0.000729929	0.00155749	0.00134821	0.0012855	0.00131675	0.00133107	0.00118997	0.000892441	0.000918835	0.0009506	0.000808526	0.000907513	0.0012056	0.000883842	0.000852195	0.00058897	0.000354104	0.00048441	0.00116758	0.00125174	0.00110202	0.000754812	0.000516017	0.00082819	0.00137493	0.000916098
0.11	0.00142022	0.00157516	0.00146836	0.00138196	0.00127215	0.000760218	0.00158155	0.00139005	0.00131108	0.0013407	0.00133686	0.00122633	0.000896217	0.000931995	0.000977932	0.000824822	0.000925493	0.00120897	0.000911249	0.000864985	0.00061969	0.00037622	0.00049129	0.00119914	0.00127739	0.00112181	0.00079701	0.000519271	0.000905504	0.00142526	0.000970521
0.113	0.00147302	0.00159714	0.00153256	0.00142257	0.0012915	0.00078996	0.00161843	0.00141237	0.00133645	0.00136421	0.00135779	0.00124269	0.000945575	0.0009418	0.000961151	0.000899314	0.000943906	0.001292	0.000938277	0.0008878	0.000619454	0.000395338	0.000499504	0.00122591	0.00132054	0.0011637	0.000809221	0.000562656	0.000909295	0.00152606	0.00104636
0.116	0.0014884	0.00165153	0.0015443	0.0014592	0.00135202	0.000810185	0.0016567	0.00144557	0.0013519	0.00140981	0.00143292	0.00129003	0.000948673	0.00097719	0.000980279	0.000898707	0.000976631	0.00128995	0.000956619	0.000937167	0.000659361	0.000407364	0.000523295	0.00126943	0.00136642	0.00119799	0.000845451	0.000560931	0.000968221	0.00161216	0.00114948
0.119	0.00153378	0.0017077	0.00158953	0.00149821	0.00136365	0.000837044	0.00168008	0.00146505	0.00142052	0.00142532	0.00146416	0.00129835	0.000987985	0.000975548	0.00101157	0.000923297	0.000991867	0.00129694	0.000988042	0.000950405	0.000641023	0.000392159	0.000541233	0.00129602	0.00138546	0.00122495	0.000857538	0.00060117	0.00100798	0.00167168	0.00124221
0.122	0.00155909	0.00174019	0.00162536	0.00151879	0.00139883	0.000852167	0.00174972	0.00152329	0.00143277	0.00146057	0.00150764	0.00133458	0.00099276	0.00100278	0.00104485	0.000951375	0.00101921	0.00132688	0.000986203	0.000972958	0.0006807	0.000371668	0.000545524	0.00131404	0.00142959	0.00123477	0.000894956	0.000637429	0.00107819	0.00178731	0.0013517
0.125	0.00158306	0.00177497	0.00165017	0.00156154	0.00140506	0.000867351	0.00176636	0.00151873	0.0014287	0.00149744	0.00153919	0.0013653	0.00101478	0.00102877	0.00107794	0.000958268	0.00103922	0.00136949	0.00104427	0.00098166	0.000723053	0.000398857	0.00056671	0.00134209	0.00145291	0.00129281	0.000894521	0.000661304	0.00111954	0.00187507	0.00149161
0.128	0.00165893	0.00181784	0.00166483	0.00157784	0.00144104	0.000880858	0.00180481	0.00156289	0.00149203	0.00151502	0.0015594	0.00139101	0.00102217	0.00103641	0.00109149	0.000975869	0.00108168	0.00141459	0.001017	0.00100568	0.000712928	0.000422503	0.000569798	0.00139704	0.00147565	0.00133273	0.000907283	0.000673443	0.00116904	0.00198105	0.00158478
0.131	0.00166629	0.0018543	0.00172024	0.00161952	0.00147815	0.000904467	0.00181464	0.00161215	0.00152273	0.00160899	0.00157569	0.00141046	0.00104013	0.0010619	0.00109662	0.000985242	0.00106472	0.00142893	0.00108475	0.00102316	0.000722577	0.000409699	0.000597732	0.00140509	0.0015369	0.00134089	0.000925242	0.000736687	0.00124098	0.00210845	0.00169013
0.134	0.00167662	0.00187094	0.00175037	0.00162723	0.00151303	0.000948054	0.00189483	0.00164951	0.00157426	0.00161959	0.0015966	0.00144669	0.00107089	0.00107755	0.0011199	0.00103484	0.00110503	0.00146348	0.00105864	0.00104475	0.000758593	0.000430338	0.00061298	0.00143109	0.00157411	0.00138601	0.000972835	0.000759233	0.00130802	0.00224597	0.00181748
0.137	0.00175692	0.00192622	0.00179331	0.00166822	0.00153728	0.000969786	0.00192642	0.00166943	0.00158414	0.00165229	0.00164149	0.00150162	0.00110225	0.00112025	0.00115015	0.00104628	0.00112358	0.00152569	0.00110746	0.00106327	0.000771122	0.000448047	0.000626762	0.00148657	0.00161181	0.0013957	0.000964185	0.000795742	0.00135506	0.00235132	0.00187748
0.14	0.00179936	0.00194664	0.00182785	0.00171245	0.00156746	0.000975347	0.00195603	0.00172228	0.00162012	0.00166323	0.00169807	0.00150889	0.00107985	0.00110506	0.00116651	0.00104237	0.00115155	0.00153782	0.00113954	0.00108126	0.000788784	0.000465481	0.000643154	0.00148798	0.00162371	0.00141967	0.0010147	0.000822264	0.0014494	0.00256617	0.00195725
0.143	0.00180971	0.00197659	0.00186907	0.00174131	0.00160819	0.00101906	0.00198866	0.00174828	0.00162364	0.0017059	0.00173196	0.00151629	0.00113702	0.0011661	0.0011727	0.00105111	0.00116949	0.00104196	0.00114753	0.00108812	0.000799406	0.000454446	0.000614949	0.00154676	0.00166684	0.00144426	0.00102456	0.000866136	0.00150251	0.00279145	0.00199997
0.146	0.0018574	0.00203026	0.00189052	0.00176477	0.00160394	0.00105453	0.00204732	0.00176559	0.00166991	0.00174631	0.0017558	0.00155072	0.00114368	0.00114626	0.00121156	0.00107662	0.00119178	0.00110145	0.00116586	0.00111478	0.000828746	0.000495136	0.0006479	0.00157357	0.0016934	0.00148919	0.00103845	0.000927568	0.00161059	0.00307651	0.00206927
0.149	0.0018851	0.00208094	0.00192099	0.00179434	0.00168457	0.00106634	0.00207171	0.0017991	0.00169154	0.00175447	0.00180122	0.00159935	0.00115171	0.00117843	0.00123395	0.0010927	0.00121511	0.00112119	0.00120756	0.00111786	0.000839275	0.000473094	0.000653856	0.00164419	0.00175078	0.00153593	0.0010584	0.000979978	0.00173432	0.00331286	0.00212311
