Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.05	58.0687	46.7425	40.8655	36.1039	32.3993	27.859	23.5922	21.145	27.8869	26.9923	24.8987	23.0605	18.2044	14.2289	10.9346	16.6677	38.607	21.1634	9.1598	19.1873	19.5319	19.4712	16.4155	11.4782	9.45164	8.72525	8.08093	7.74015	7.3182	6.47304	6.13403	5.46766	4.81703	4.38428	2.84315	5.23898	3.92874	3.45784	2.7136	0.648869	6.60947	4.30516	3.81576	3.3964	3.32161	2.84169	2.66573	2.41362	2.31792	2.10569	2.06274	1.85478	1.67653	1.68092	1.66472	1.43327	1.1197
0.053	62.4982	50.8531	45.0062	40.2289	35.3602	31.1866	25.816	22.7153	31.4004	29.8416	28.2417	25.4302	20.2207	15.9064	12.4499	19.4956	42.607	23.5398	10.6578	21.6948	21.125	22.1726	18.4601	12.6999	11.0774	9.82121	9.12514	8.36134	7.82554	7.46135	6.71563	6.26727	5.61615	4.84126	3.24195	5.64552	4.63546	3.70741	2.81485	0.753469	7.19237	4.75602	4.03196	3.51774	3.17516	3.27717	2.99058	2.58325	2.47867	2.30372	2.17599	1.92734	1.88049	1.70646	1.88613	1.477	1.25368
0.056	67.221	56.2979	49.707	44.3773	38.4343	34.185	28.79	25.8139	34.4882	32.98	30.8878	27.2266	22.3203	18.2069	14.211	21.6398	45.8182	25.9093	12.0579	23.1267	23.0978	24.2731	19.6091	14.3472	11.6807	10.5912	9.94097	9.38084	8.46452	7.85494	7.4371	6.66432	6.365	5.41797	3.59571	5.98433	5.04746	4.03552	3.07452	0.834236	7.94088	5.35527	4.46581	4.1122	3.6583	3.54687	3.21177	2.91937	2.71273	2.5629	2.42167	2.29181	2.23445	2.07786	1.88948	1.67136	1.30116
0.059	73.2485	60.1609	53.9382	47.7294	42.2098	36.9403	31.4326	28.5449	38.0417	36.1033	33.7217	30.3149	24.9341	20.4333	15.8967	37.329	50.5268	29.1219	13.6614	24.9411	24.8555	26.5487	22.4019	15.5173	13.1329	12.0803	11.2963	10.3304	9.60274	8.89363	8.10604	7.22759	6.67455	5.8578	3.98685	6.93967	5.40158	4.59275	3.35056	0.825263	8.58176	5.61679	4.94247	4.49467	4.14377	3.77911	3.56542	3.15601	3.0638	2.7869	2.58371	2.51279	2.28272	2.29975	2.01748	1.82061	1.28765
0.062	79.2719	65.8856	59.36	52.0699	46.4136	40.1161	34.6538	31.7307	42.4412	40.3737	37.0596	32.6497	27.5269	22.9463	17.5641	40.7046	55.1007	31.4609	14.9928	26.8053	26.6562	28.6054	24.2744	17.0015	13.8819	13.2681	12.4344	11.3315	10.7238	9.85355	8.83617	8.19529	6.96186	6.76177	4.30491	7.76296	5.93964	5.04443	3.79054	0.907332	9.34716	6.4319	5.55381	4.71481	4.6491	3.94193	3.86562	3.3922	3.2901	2.99635	2.79399	2.57555	2.48986	2.44211	2.33391	2.03542	1.57156
0.065	85.7341	71.4514	62.5257	56.7664	51.0194	42.8957	37.0396	34.9618	46.5863	43.6302	40.6184	34.3563	30.0209	24.8368	19.5606	45.8527	59.5738	34.5879	16.4144	28.6709	28.7839	32.0111	26.0686	18.8359	15.2466	14.188	13.1816	12.1804	11.4773	10.6042	9.65441	8.87037	8.0215	6.97121	4.75068	8.17788	6.74853	5.48377	4.00032	1.01866	10.5712	6.92991	5.76328	5.40111	4.76247	4.49897	4.11971	3.61849	3.55468	3.45179	3.20116	2.80118	2.70086	2.53421	2.44783	2.27594	1.70795
0.068	91.2113	77.5147	69.0526	61.6731	54.1123	47.6032	40.3639	36.832	50.6051	47.3934	44.0929	36.4462	32.7672	27.9622	21.1103	49.9215	63.8166	37.1278	17.9132	30.7238	30.4495	35.3607	28.2733	20.3093	17.2327	15.6156	14.0796	13.1333	12.369	11.303	10.1195	9.56411	8.2492	7.47645	5.01887	8.69022	6.93086	5.78279	4.20437	1.04855	10.8277	7.44725	6.26488	5.75147	5.21206	4.65696	4.386	4.06843	4.03465	3.52136	3.27091	3.19973	2.96394	2.70863	2.63003	2.41565	1.84436
0.071	96.3927	82.3888	73.8876	65.2328	58.8246	50.0577	42.8368	39.8604	54.9967	49.9378	46.889	39.0531	35.854	30.7532	23.0322	54.8195	68.7464	40.2999	19.5923	33.1836	32.9681	37.6711	30.5713	22.377	18.1786	16.6045	15.4176	14.6074	13.4914	12.3935	11.6266	10.285	9.29475	7.91923	5.46468	9.34694	7.62147	6.29201	4.90513	1.18069	11.6877	8.29409	6.90398	6.00174	5.65712	5.12928	4.90769	4.42246	4.22706	3.96568	3.85695	3.52012	3.10517	2.95775	2.78083	2.74706	1.80469
0.074	104.002	88.5181	79.2194	70.801	63.4884	54.9859	46.4095	43.7173	58.6677	55.2778	50.503	40.6922	39.0754	33.3263	24.9884	58.9627	73.5972	43.0188	21.4784	35.4481	34.5762	41.1677	32.2259	23.5389	19.431	18.1898	16.9161	15.0309	14.5004	13.2198	12.0783	11.1043	9.92052	8.6124	6.08985	10.4013	7.83717	6.66459	5.10095	1.34987	12.7914	8.69025	7.40606	6.50481	6.11471	5.82757	5.41794	4.77538	4.46539	4.22938	3.86526	3.75604	3.25789	3.20488	3.00428	2.82056	2.09862
0.077	110.707	95.4836	83.6866	76.1986	68.5159	58.8053	49.0658	47.4102	63.6012	59.3095	53.4462	42.1605	43.1207	36.3944	27.3778	62.9211	78.312	46.1719	23.3521	35.9477	37.1932	43.3603	34.7388	25.0426	21.7948	19.3962	18.0504	16.7606	15.5807	14.2374	13.1007	11.8552	10.6959	9.09952	6.43283	10.5283	8.62095	7.20404	5.53848	1.4644	13.4966	9.12804	7.84519	7.03464	6.45519	5.97794	5.48577	5.11434	4.73545	4.30656	4.16611	3.90091	3.65557	3.42546	3.25373	3.05297	2.1604
0.08	117.439	101.531	90.2513	81.5941	72.0363	63.8223	52.6464	50.1781	67.4508	63.0273	58.6082	44.0753	46.3558	39.7593	65.6765	67.8771	84.3653	49.5197	24.7409	38.5003	38.3582	47.6813	37.6001	27.0879	22.6075	21.2487	19.0518	17.9714	16.7398	15.2418	14.162	13.0334	11.5419	10.011	6.94578	11.5559	9.13377	7.98177	5.94646	1.53609	15.2389	10.1114	8.81526	7.50262	7.00884	6.49169	6.12657	5.4222	5.25781	4.69029	4.63051	4.26187	3.98236	3.79783	3.49228	3.37232	2.31734
0.083	124.239	107.347	95.3313	85.4332	75.6698	67.2669	56.7801	53.9757	74.0619	67.5652	61.7279	45.553	50.5932	42.9398	71.5186	73.7032	90.0664	52.3711	27.0329	40.7594	40.908	51.2914	40.5708	29.0607	24.7212	22.0363	19.8151	18.7822	17.6001	16.7154	15.3887	13.888	12.3204	10.6691	7.09	12.2855	9.78625	8.59726	6.19401	1.60656	15.6779	10.9441	8.67973	8.18091	7.5206	7.06756	6.64675	5.81623	5.39342	5.198	4.77595	4.69166	4.18056	4.04809	3.92257	3.46781	2.31875
0.086	130.887	113.41	100.554	91.1091	80.5687	71.0253	59.8949	57.5935	78.0148	71.7978	64.7245	46.378	54.9432	46.5581	75.9158	77.3706	93.9001	55.9198	28.796	42.4929	43.471	54.5749	43.0784	31.7529	26.2315	23.6634	22.1525	20.4227	19.1507	17.8661	15.666	14.816	13.0448	11.5403	7.62993	13.6548	10.6671	8.88343	6.67708	1.93832	17.0696	11.4883	9.85294	8.91509	7.8664	7.0331	6.92701	6.18856	5.76509	5.43946	4.94035	4.83371	4.62912	4.20822	4.02628	3.63827	2.68596
0.089	139.831	121.218	109.608	96.6817	85.7699	75.2916	64.9086	61.5552	84.2961	75.1024	69.2326	47.7257	58.6094	50.2149	81.1267	82.3652	99.0672	59.4654	30.6201	45.4342	44.81	58.3999	45.8422	33.1774	27.8302	25.5018	23.1087	21.9121	20.096	18.8257	17.18	15.2764	13.8621	12.3919	8.05364	14.2888	11.1839	9.82843	7.52782	1.97375	18.0043	12.1171	10.0791	9.24748	8.63179	7.86483	7.59732	6.73914	6.03424	5.83045	5.44239	5.13889	4.72435	4.45884	4.19209	3.9779	2.95342
0.092	144.215	127.5	115.243	102.328	90.7541	80.2337	68.0512	66.058	90.4503	81.231	73.3446	49.4793	63.6359	53.8423	86.8817	85.4383	106.124	62.8186	32.1888	47.3905	47.1402	63.358	48.1463	35.8952	29.8084	27.1979	24.6669	22.7911	22.2203	19.6916	18.7607	16.844	14.5431	13.0157	8.62851	15.3032	11.9098	10.1248	7.71904	2.22068	19.7191	12.8623	10.8295	9.96148	9.15669	8.60534	7.58664	7.04448	6.54895	6.15473	5.65497	5.43088	5.02373	4.70793	4.64109	4.02655	3.124
0.095	153.114	134.832	122.071	109.38	95.7568	84.4286	71.9444	70.6027	95.9826	85.1191	77.2838	52.7416	68.3138	57.7469	91.9878	93.7317	109.77	66.7944	34.3519	49.9545	48.8391	67.8179	51.4106	37.9132	31.3991	28.6787	26.6219	24.2571	23.0104	20.8001	19.2462	17.5119	15.6335	13.6771	9.39042	16.2269	13.0223	10.7835	8.34161	2.26814	20.0149	13.7915	11.4835	10.213	9.73013	8.77743	8.23777	7.66615	6.86368	6.6708	6.20666	5.59212	5.6423	5.00327	4.75542	4.42766	3.22519
0.098	160.545	143.365	127.287	113.853	102.019	88.6142	75.3446	74.4823	100.932	90.9546	80.7727	56.5284	73.1102	61.3052	100.797	99.2979	116.906	70.9366	35.5686	51.9731	51.2813	71.1181	54.4961	40.2844	33.1406	30.1339	27.822	25.6325	23.7864	21.7445	20.2619	18.5547	16.8898	14.8029	9.86131	16.7594	13.7202	11.5324	8.65152	2.53547	21.1566	14.3974	12.0471	10.8107	10.3031	9.16711	8.97141	7.77488	7.09914	6.79811	6.52177	5.97818	5.6993	5.28572	4.81114	4.75497	3.38047
0.101	170.327	149.085	133.723	120.607	106.287	92.2193	79.8851	79.864	108.026	96.193	84.9995	62.6784	78.6145	66.725	104.907	103.676	120.837	72.714	38.6183	53.8122	53.1819	76.378	57.368	41.9117	35.4005	32.3352	29.6906	27.7687	25.7907	23.3144	21.6364	19.4555	17.8338	15.4917	9.99295	17.8784	14.4436	11.8329	9.27339	2.84641	22.2052	15.55	12.8201	11.4296	10.5696	10.2039	9.1031	8.27776	7.74061	7.39541	6.87753	6.34992	6.36007	5.68894	5.15958	5.32479	3.57755
0.104	177.734	156.947	141.003	125.087	110.443	97.514	83.2436	84.9343	113.652	100.781	87.8234	68.9101	83.5576	70.8797	111.461	107.936	127.354	75.9813	40.7538	57.2012	56.875	81.15	60.7164	45.3465	37.7055	34.5103	31.5041	28.9174	27.0718	24.8446	22.7637	20.4965	18.7286	16.3272	10.5784	19.1345	14.7481	13.0996	9.663	2.92625	23.9594	15.9368	13.8709	12.1557	11.234	10.1437	9.88601	8.89008	8.10585	7.36092	7.38671	6.66206	6.48121	5.90202	5.67629	5.054	3.88564
