Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.11	0.0998153	0.125161	0.102663	0.0933679	0.0783369	0.0320708	0.121432	0.0933449	0.083519	0.0914878	0.0855896	0.0764075	0.0487279	0.04878	0.0487607	0.0354168	0.0489981	0.0779096	0.00266266	0.00544628	0.00686174	0.00599717	0.0154243	0.0710274	0.0868205	0.0706443	0.0316898	0.0164117	0.0438547	0.0989796	0.0496999
0.113	0.108292	0.126189	0.115382	0.102667	0.0852942	0.0328308	0.128777	0.0996149	0.0921107	0.0957826	0.0968617	0.082157	0.0464747	0.0476755	0.0501822	0.0406316	0.04766	0.0799476	0.00270742	0.00535876	0.00740224	0.006559	0.0181099	0.0750668	0.0961554	0.0727084	0.0366651	0.0186843	0.0468282	0.117568	0.0568257
0.116	0.10814	0.126401	0.123129	0.105112	0.0875208	0.0335061	0.132467	0.103691	0.0970519	0.0955613	0.0972007	0.0803995	0.0457594	0.0490695	0.0552553	0.0454725	0.0516153	0.0823236	0.00292749	0.00573844	0.00706357	0.00790018	0.0159964	0.0791287	0.0912169	0.0749911	0.038986	0.021538	0.0491216	0.130357	0.0662777
0.119	0.112128	0.131882	0.120594	0.106682	0.0925586	0.0394005	0.127932	0.106666	0.100082	0.104266	0.1053	0.0910102	0.0490888	0.0489223	0.0578117	0.0459419	0.0510331	0.0896905	0.00311403	0.00571639	0.00724189	0.00755974	0.0163369	0.0785321	0.097137	0.0755387	0.0400338	0.0222861	0.0554833	0.139034	0.0795322
0.122	0.118847	0.137459	0.117999	0.11371	0.0996833	0.0373431	0.143415	0.112067	0.100718	0.108154	0.111763	0.0868769	0.0520106	0.047521	0.0544148	0.0476069	0.0559248	0.0945277	0.00312742	0.00528836	0.007463	0.00735484	0.0178737	0.0892382	0.105624	0.0719795	0.0422486	0.0222134	0.0612479	0.151241	0.0921725
0.125	0.114521	0.143979	0.127796	0.120828	0.098028	0.0403049	0.143183	0.111922	0.105359	0.107739	0.11759	0.0972108	0.0566333	0.0532954	0.0618666	0.050576	0.0510792	0.0944136	0.00296631	0.00621569	0.00816018	0.00697814	0.0199356	0.0936199	0.104994	0.0820098	0.040154	0.0242495	0.0695838	0.163799	0.112265
0.128	0.134973	0.148131	0.132405	0.122533	0.103927	0.0437067	0.146698	0.118187	0.113036	0.117016	0.118754	0.102099	0.0579568	0.0538147	0.0615112	0.0537667	0.0616862	0.100644	0.00311734	0.00601195	0.00670121	0.00762185	0.0170899	0.0988398	0.111272	0.0887919	0.0446625	0.0263815	0.0750321	0.185315	0.12301
0.131	0.136086	0.153153	0.14394	0.123442	0.108081	0.0411966	0.150501	0.130253	0.114724	0.121946	0.120677	0.100279	0.0573129	0.0600812	0.0647612	0.0523355	0.0598585	0.10855	0.0032983	0.00596161	0.00785214	0.00756883	0.0198518	0.0975106	0.113538	0.0906141	0.0478378	0.0295989	0.0772549	0.192024	0.134632
0.134	0.12984	0.165542	0.147333	0.131719	0.109996	0.0477765	0.154962	0.127766	0.12074	0.1214	0.127814	0.107958	0.062158	0.061768	0.0685959	0.0552278	0.0599311	0.103406	0.00320224	0.00623821	0.00771132	0.00789361	0.0188208	0.103876	0.124749	0.097344	0.0533427	0.0337098	0.0810166	0.213998	0.153233
0.137	0.145103	0.17075	0.149147	0.133072	0.116986	0.0484649	0.1685	0.136116	0.118343	0.126654	0.13535	0.112494	0.0638107	0.0657603	0.0669386	0.0544697	0.0641137	0.11661	0.00360921	0.0064116	0.00787015	0.00936649	0.0216656	0.105295	0.123643	0.0975324	0.0536103	0.0331408	0.0898181	0.233086	0.160131
0.14	0.14967	0.179603	0.154058	0.134962	0.121066	0.0504869	0.170272	0.141178	0.130253	0.132966	0.138278	0.111998	0.06671	0.0617354	0.0696158	0.0587627	0.0700247	0.118013	0.00333906	0.0070057	0.00802916	0.0117002	0.0224487	0.108067	0.126218	0.0995991	0.0539489	0.0373075	0.103907	0.259119	0.175797
0.143	0.155561	0.172873	0.155589	0.145098	0.120851	0.0546804	0.177891	0.146567	0.129988	0.139893	0.140422	0.11429	0.0716985	0.0708047	0.0715489	0.064309	0.0770136	0.00140115	0.0033531	0.00614975	0.00861931	0.00842734	0.0231341	0.11983	0.133765	0.114977	0.0558063	0.0422487	0.109386	0.301112	0.182395
0.146	0.156403	0.186967	0.166971	0.149878	0.124245	0.0549188	0.181621	0.145397	0.128917	0.143686	0.153104	0.123585	0.0703747	0.0725802	0.080054	0.0573648	0.0774108	0.00163043	0.0033403	0.00703866	0.00928987	0.00925277	0.0231901	0.126007	0.143653	0.112537	0.0577859	0.0484285	0.128643	0.335347	0.185143
0.149	0.166817	0.184101	0.163519	0.152785	0.131633	0.059061	0.18452	0.152821	0.14275	0.148232	0.155299	0.123455	0.0708678	0.0705417	0.0737452	0.0603734	0.0779067	0.00159818	0.0037645	0.00650382	0.0096101	0.00975507	0.0257895	0.126699	0.150318	0.110974	0.0557756	0.0501436	0.139014	0.380607	0.198549
