Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.104	3.92989	4.694	4.31614	3.7095	3.14779	1.08331	4.84742	3.61043	3.29987	3.37976	3.68078	2.81525	1.72599	1.60793	1.81515	1.43275	1.78656	2.74655	1.70261	1.65005	0.761958	0.307246	0.522392	2.70317	3.11465	2.33258	1.26217	0.555725	1.43557	3.67946	1.62004
0.107	4.12384	5.0925	4.22354	3.69645	3.15079	1.31206	5.10444	4.02531	3.3301	3.87539	3.8907	2.87329	1.60834	1.80388	2.15193	1.35988	1.75671	2.99677	1.73703	1.47009	0.807068	0.285484	0.526596	2.90654	3.52908	2.5185	1.20642	0.599543	1.56357	4.11668	1.8715
0.11	4.25697	5.35429	4.51111	3.8675	3.31994	1.26268	5.31622	4.08106	3.46574	3.82502	3.65574	3.10539	1.89101	2.00113	1.96331	1.41809	1.93083	3.22085	1.79603	1.7093	0.865075	0.318623	0.600588	2.85246	3.63263	2.84636	1.24324	0.635769	1.70467	4.22483	2.05613
0.113	4.63191	5.49029	5.15713	4.28773	3.53012	1.30262	5.6632	4.33224	3.96316	4.11392	4.09753	3.37831	1.84228	1.91368	2.01153	1.61814	1.88006	3.36078	1.83725	1.7297	0.953464	0.354652	0.70001	3.12659	3.94097	3.04849	1.42931	0.713405	1.8549	4.97566	2.3415
0.116	4.64057	5.65385	5.45378	4.41773	3.7174	1.36779	5.82385	4.49491	4.08131	4.16545	4.24032	3.34438	1.82361	1.9908	2.26534	1.81327	1.99813	3.41025	2.00717	1.86658	0.934264	0.427344	0.632288	3.3294	3.83849	3.15195	1.54731	0.831198	1.92425	5.6014	2.74225
0.119	4.9524	5.78595	5.29591	4.5555	3.89499	1.58719	5.74812	4.61854	4.26263	4.38386	4.54545	3.77128	1.98689	2.00055	2.28286	1.81985	2.03915	3.75047	2.19802	1.94413	1.00568	0.418845	0.636325	3.31905	4.07818	3.11575	1.60857	0.86332	2.25093	6.12571	3.34589
0.122	5.30962	6.25168	5.27946	4.83508	4.35385	1.50436	6.47037	4.88685	4.25091	4.54349	4.90389	3.67526	2.04731	1.9491	2.24183	1.92623	2.2419	3.87279	2.23301	1.83114	1.0526	0.406714	0.705217	3.70439	4.52806	3.02466	1.69795	0.850894	2.45897	6.80337	3.82883
0.125	4.96811	6.56467	5.66484	5.2722	4.2335	1.66247	6.4423	4.93819	4.48374	4.6617	5.25672	4.10011	2.29149	2.1108	2.49574	1.98592	2.09899	3.9424	2.14209	2.20933	1.18626	0.389238	0.75269	3.88485	4.50659	3.42173	1.6297	0.950891	2.76742	7.28115	4.90065
0.128	5.95906	6.80551	5.90487	5.30161	4.40148	1.76084	6.82299	5.22846	4.80726	4.99495	5.16523	4.21857	2.35246	2.17602	2.56692	2.13481	2.5596	4.21589	2.31687	2.12924	1.04405	0.420386	0.659775	4.15348	4.72299	3.65055	1.7946	1.01596	3.00093	8.52471	5.33931
0.131	5.9687	6.99739	6.49222	5.40571	4.68917	1.66948	7.02763	5.83359	4.95492	5.30651	5.34991	4.24768	2.26056	2.44002	2.63331	2.06956	2.48954	4.41071	2.50284	2.18055	1.20805	0.42893	0.767066	4.11244	4.86175	3.7749	1.92418	1.14241	3.27846	9.21666	5.96965
0.134	5.65913	7.52893	6.79281	5.73641	4.77672	1.9538	7.18962	5.78062	5.21723	5.2968	5.43235	4.47926	2.49674	2.56339	2.78164	2.17199	2.47641	4.42492	2.42972	2.35694	1.22589	0.449711	0.73892	4.29252	5.24424	4.14338	2.14028	1.32138	3.33003	10.4407	6.90057
0.137	6.48529	7.97069	6.71372	5.91857	5.24879	1.98583	7.92822	5.98105	5.18293	5.78579	5.87363	4.72627	2.54786	2.68579	2.83427	2.22161	2.65831	4.89007	2.79996	2.47976	1.28643	0.519775	0.850432	4.57933	5.3773	4.10643	2.1058	1.28774	3.82611	11.683	7.41494
0.14	6.82545	8.36697	6.99704	5.9963	5.33223	2.07699	8.23645	6.32921	5.64943	5.92349	6.07057	4.88721	2.64209	2.53171	2.86873	2.37257	2.84299	5.00526	2.62263	2.75212	1.30054	0.653959	0.855362	4.74795	5.62927	4.07423	2.15391	1.49406	4.43766	13.752	8.07146
0.143	7.19857	8.11003	7.12625	6.33343	5.30573	2.22227	8.35982	6.53594	5.77226	6.13398	6.15681	4.90987	2.86563	2.82991	2.98927	2.55958	3.1841	2.37031	2.67361	2.47063	1.40556	0.476045	0.93021	5.29191	5.90577	4.78943	2.30387	1.66896	4.63381	16.4056	8.74439
0.146	7.25496	8.94357	7.67651	6.72387	5.41694	2.22055	8.70591	6.68694	5.74762	6.53405	6.7458	5.25299	2.87461	2.96841	3.31432	2.31637	3.14604	2.67945	2.7242	2.89466	1.54935	0.536958	0.88182	5.6287	6.33938	4.85406	2.34964	1.92252	5.52783	19.6088	8.58773
0.149	7.69227	8.82423	7.57343	6.98257	5.76494	2.43139	8.96733	6.96142	6.24387	6.61446	6.92668	5.35713	2.82851	2.86126	3.07569	2.41079	3.20889	2.54658	3.067	2.75306	1.61506	0.561161	1.0139	5.56503	6.51772	4.64966	2.25343	2.0153	6.20195	23.015	9.74789
