Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.122	44.6761	45.4805	44.7415	42.521	43.6769	40.2848	45.1164	43.6067	42.2061	42.0095	43.8776	42.3042	39.3633	41.0157	41.1989	40.4612	40.0879	40.9699	714.011	346.258	141.043	55.2988	39.4556	41.5112	42.8698	42.0211	40.1894	38.3055	40.1477	44.9838	41.5398
0.125	43.3815	45.5946	44.3272	43.6339	43.1867	41.2474	44.9934	44.1219	42.5567	43.2682	44.704	42.1775	40.4619	39.6056	40.3407	39.266	41.0928	41.7567	722.139	355.445	145.372	55.7796	37.756	41.496	42.9225	41.7234	40.5864	39.2128	39.771	44.4518	43.6525
0.128	44.1499	45.9426	44.5969	43.2669	42.3516	40.2876	46.5105	44.2389	42.5287	42.6859	43.495	41.3183	40.5899	40.4354	41.731	39.7051	41.4939	41.8893	743.219	354.167	155.801	55.1554	38.6061	42.0223	42.4453	41.1136	40.1814	38.5102	39.9953	46.0012	43.4054
0.131	43.8598	45.6889	45.1036	43.7914	43.3856	40.5248	46.6949	44.7865	43.19	43.5152	44.3323	42.3587	39.4425	40.612	40.6618	39.5441	41.5904	40.633	758.826	365.765	153.85	56.6705	38.6396	42.1743	42.8205	41.6591	40.223	38.5963	42.4369	47.9975	44.3404
0.134	43.5856	45.4806	46.1053	43.5503	43.4262	40.8947	46.3961	45.2439	43.2106	43.6309	42.5021	41.4907	40.1676	41.5003	40.5511	39.3278	41.3209	42.7918	758.755	377.823	158.973	56.9716	39.2607	41.3235	42.0383	42.5643	40.1231	39.1987	41.103	48.7886	45.0332
0.137	44.6944	46.6803	45.0141	44.4765	44.867	40.9746	47.0517	43.9407	43.796	45.6817	43.3958	42.0136	39.9285	40.8421	42.3414	40.7862	41.4625	41.9354	775.783	386.761	163.457	55.4931	39.2526	43.4906	43.4905	42.1032	39.2797	38.8568	42.5984	50.123	46.3054
0.14	45.6035	46.586	45.4182	44.4294	44.044	41.1393	48.3724	44.8314	43.3727	44.549	43.9011	43.6365	39.6056	41.009	41.208	40.3755	40.5999	42.4126	785.441	392.841	161.977	55.8929	38.1029	43.9353	44.5995	40.9063	39.9249	40.0472	42.7078	53.0721	45.9134
0.143	46.2748	46.9133	45.8018	43.6493	43.903	40.641	46.994	44.5936	44.406	43.8478	43.8451	42.9599	39.9678	39.9679	41.7793	39.8012	41.3446	1691.69	797.355	401.745	163.071	56.4881	40.2095	44.1618	44.1504	41.6554	41.2833	39.5032	42.3622	54.4833	47.942
0.146	46.3865	47.835	45.9752	44.8625	43.5989	40.4334	47.9344	45.991	44.5837	45.4744	44.0601	42.5051	40.8473	40.8984	41.401	40.3796	40.6408	1643.4	815.553	411.252	166.779	58.0321	38.0257	44.6696	44.1298	43.1331	40.6611	39.698	42.9703	58.4733	46.3843
0.149	46.112	47.9314	46.3152	45.7021	43.7955	41.1675	48.5982	45.5527	43.74	44.6225	44.6024	43.3932	39.9125	40.5613	41.707	39.9313	41.1889	1593.42	814.715	423.299	168.059	57.5251	39.3145	43.9233	43.3596	41.8986	40.4018	40.1906	44.6138	60.4691	49.0957
