Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.05	-1.1566	-0.947566	0.89504	2.87554	-0.653795	2.66493	-0.492134	1.17621	3.09502	-2.92524	0.487236	1.5025	-2.23509	-2.00204	1.21846	-2.64286	-2.94244	0.158155	-2.89012	1.45861	1.63403	-0.773185	-3.01113	1.05385	2.18305	-1.75692	-0.961141	0.346	0.545644	-0.0705212	1.28591	0.261622	1.64151	3.03333	-0.985898	-1.70321	0.781607	3.13447	3.04091	0.480015	1.69457	1.67896	0.549797	-1.55568	1.2002	1.50206	-0.933142	0.225847	-2.62753	-2.97803	2.5006	2.17387	2.66605	-1.83156	0.875615	0.897316	-1.74621
0.053	-0.176412	1.22073	1.4477	-1.65284	2.25434	-1.30632	-3.09758	-1.73855	0.0946921	3.02264	1.50481	-0.511348	-2.26295	-1.58494	1.77637	0.104058	1.60972	-1.84232	1.37699	0.321829	-1.0041	2.97748	-2.34896	1.02784	-3.01915	-1.32659	-2.21092	-0.0307552	2.82717	1.94755	0.308821	-2.01954	-2.93546	1.51166	1.82817	-2.0082	1.51662	-1.87585	2.63156	1.65739	-2.08368	-2.96316	0.654318	2.13758	0.270208	-0.174568	-3.0781	-0.0692932	0.0770706	2.667	1.74541	-0.418222	0.951302	1.16303	0.309395	-0.309251	1.40035
0.056	-1.14433	0.987011	-2.05084	-0.720668	-1.19836	-0.806726	2.63958	-1.86339	-1.08801	0.836369	-1.02118	1.75778	0.995403	2.29939	2.70859	3.02734	2.19502	-1.06588	0.439652	-0.958273	2.84712	-1.11374	-3.07769	-1.14655	-1.67754	-2.25164	-0.322858	1.10529	-0.186194	-0.440515	-0.98498	-1.7483	-2.18545	-0.638337	-1.66296	0.197347	-1.76538	-1.36265	-1.94469	1.32804	0.00502155	3.04099	2.89267	-0.309764	1.96434	-0.490539	-2.76111	1.12554	2.53989	1.59536	2.17182	-1.35214	0.919351	-1.55484	0.770656	2.72915	2.40375
0.059	2.94725	2.05761	-3.07042	2.07774	0.846262	-1.86674	0.396028	-2.85419	0.613226	-2.53072	-3.05574	0.628767	-0.193019	0.821269	0.440517	2.87827	-0.643798	-0.416842	-2.90443	0.60542	0.806147	-2.44227	-0.182537	2.45246	-2.81075	2.33951	2.13349	0.129807	-2.61013	1.95563	-3.04954	-2.07096	0.350196	-1.56431	1.43841	-2.69786	2.41266	1.9512	-2.24675	-3.13531	-0.108892	1.94599	1.00685	-2.80051	3.07307	-1.55118	2.26849	-0.952309	-1.7981	-0.180154	-2.22032	2.17904	-0.623656	0.487421	2.64457	2.32447	-0.608164
0.062	-1.13406	1.26971	-0.678191	-0.56868	-2.8833	-2.80942	1.61898	-0.234926	0.11289	3.134	-1.93205	-2.00706	-0.224363	1.68329	2.70906	-0.942128	2.51947	3.00339	-1.64581	-2.40012	-1.49219	-0.878754	1.74346	-1.9565	2.57878	-2.30376	2.33695	-1.73858	-0.554508	0.715571	1.57841	-3.10006	-1.4092	-2.65618	1.9109	-1.61955	0.933937	-1.73382	2.31395	1.43911	-1.42454	0.459546	2.93779	-1.97156	-0.609617	1.61776	-1.02777	0.958345	0.550758	1.53031	0.376469	-0.489778	1.40492	-2.5685	-2.66423	0.358919	-2.85632
0.065	-0.634164	-2.94738	-2.7224	-0.55725	0.130315	2.63133	0.976781	-1.49729	-0.281566	0.713256	2.08923	1.77617	0.941011	-2.90749	-0.016363	1.62333	1.62772	0.881998	-2.69849	2.71893	1.53154	2.4939	3.09479	2.77723	-1.09712	-0.448284	-0.437138	1.61261	-2.24238	0.259459	1.20402	-1.87813	-1.7594	2.12086	-1.11423	0.411272	-0.523828	1.11511	-2.4078	0.713243	0.747796	0.319842	-2.40422	-0.793073	0.858023	-2.26421	2.29073	1.54734	-2.26776	-2.95302	-2.43423	-1.70499	-3.00535	0.688878	-2.42621	-2.60369	2.49587
0.068	3.1033	-0.391	-0.663346	2.90065	0.584038	0.721704	-1.26535	-1.19598	-0.32695	0.433008	2.99306	-1.60423	-2.02343	-3.06215	-0.387508	2.06637	0.241828	-2.87471	-2.18338	2.42795	-0.877276	1.09215	-1.83571	-0.267717	-2.48716	-2.00122	1.55476	2.04371	-1.91291	0.576175	-1.95522	1.48162	-2.37904	-1.63063	1.94475	-3.07231	2.52744	1.22507	-2.31147	2.09624	1.33655	0.703285	1.71207	-1.66447	-0.351774	2.0743	-2.68702	2.66253	0.960893	1.84607	-0.891967	2.84983	-0.529129	-0.137242	-1.69265	1.15866	-1.27028
0.071	-2.64443	0.728366	-2.38607	-2.68702	-2.33331	0.157649	1.93395	-1.21017	0.884893	-0.419955	-2.32988	2.51952	3.05629	1.04038	1.32481	1.99209	0.129056	0.0536267	0.939866	-1.41403	2.68945	2.62122	2.86331	-1.14126	0.93461	-0.00221061	-0.780307	2.28017	-2.0376	0.898496	-1.12654	0.438788	2.92804	1.63355	2.86702	2.10021	2.97546	0.615855	1.97283	0.0784521	-2.50238	-1.36207	-1.145	1.1854	-0.594755	1.67743	1.6102	1.14199	-1.74943	2.27129	0.117522	-2.77359	2.05606	2.1126	3.13975	1.51189	2.13032
0.074	0.0925122	2.52182	-0.231383	-0.535793	-1.02954	1.14204	-2.42388	-0.90647	0.413854	-0.117904	2.66992	-1.99812	1.26029	0.835046	2.8114	0.581309	1.25571	2.58227	-2.59215	1.21924	-0.652847	0.137529	-2.34038	0.317615	2.03326	1.59995	0.524814	0.191236	2.95291	0.95739	-2.53583	-2.60767	-1.49269	-0.277134	-0.113452	0.205605	1.13212	2.36222	0.796077	2.1437	2.19229	0.870281	-1.88406	-0.954884	0.512616	-3.11112	-3.12917	-2.32776	-0.577768	1.13787	-2.01195	-2.6095	-0.309103	2.41531	0.0536641	-1.93547	-2.4972
0.077	-1.46644	-1.97208	0.740744	-2.62459	2.37915	-2.85595	2.24988	-1.28585	-0.931369	0.583556	-0.456941	2.82704	0.975385	1.53927	2.96974	-2.64222	-2.19117	1.01395	0.095491	-0.0164318	2.67077	-2.54999	0.555238	1.80852	-1.4576	0.678044	0.302483	-1.38506	-2.80784	-2.22954	-1.03965	-1.08503	-1.87449	1.97148	-1.39141	-1.59166	1.57707	2.72765	-1.4826	2.57782	-3.08221	2.79351	0.383524	2.16045	3.03021	-0.682745	2.68996	-3.00407	-2.29353	-0.855126	-1.16607	-2.49239	2.81675	-0.708241	-1.31489	-2.88195	0.0955959
0.08	2.92804	-3.11037	-0.731059	-0.227364	-1.46963	-0.141085	-0.743314	-0.916508	-1.2912	-0.463193	-1.29544	0.407019	-0.798368	-0.821834	-1.23166	-1.86569	-1.12824	-0.205592	2.06515	-1.59177	0.656909	-2.87131	1.77678	1.82424	-1.94969	2.02858	2.52779	-0.285664	1.37841	-0.537051	2.97915	-1.52811	0.780298	0.948528	-1.02643	1.54913	1.23172	1.56705	-2.22722	-1.19351	-2.39261	2.86034	2.58368	0.496859	-2.03999	-3.11485	1.52378	-1.77341	-1.5497	-0.485257	2.45474	0.219658	-2.47169	0.247278	-3.13364	0.198461	-0.803558
0.083	-0.978382	0.222393	-0.114899	-0.527166	-0.0258397	-2.3956	2.15092	2.47599	-1.97404	-1.13247	-0.884289	3.07561	2.98297	1.96827	-2.68468	-2.69785	-1.0842	2.7685	-2.29616	3.08638	0.630482	2.60709	-1.02007	-1.60873	-1.13378	0.0515601	1.58935	2.3998	1.25623	0.42497	2.78366	0.199103	3.11909	-0.776926	-3.10618	1.22762	2.37473	-2.21047	2.7232	0.267498	0.91428	0.879875	0.983472	-2.13837	-2.44726	1.61312	-2.98603	1.73129	-2.5855	-2.23725	-1.32877	-0.226934	2.16077	2.78418	-0.431964	2.33516	1.78773
0.086	-2.32073	1.30676	-0.600488	2.3305	-1.66439	0.692952	1.77366	-1.28793	2.85312	2.25245	1.24958	-0.618666	-2.9423	-0.940037	2.56245	2.00783	-2.88313	2.03804	0.163503	-0.465318	0.784224	-0.752503	2.07191	1.77097	-2.08424	2.97092	-1.0536	-0.861861	0.00386248	-1.79819	-0.960242	2.95375	-0.677364	0.312171	-1.18343	-1.70141	-1.9169	1.98659	-0.59772	-2.58603	-0.434456	0.509013	2.33407	1.37596	-0.293687	-3.08836	1.91711	-0.162767	-0.481021	2.46853	-2.44325	-0.922845	-2.76774	1.16894	-2.4829	0.450686	-0.294962
0.089	-0.512974	-0.431658	-1.07041	-2.17626	1.76432	-1.32861	-0.104481	1.58633	1.34089	-2.47223	-2.53951	1.60278	-1.4797	1.77445	1.31443	-2.60516	0.413805	1.51061	2.33635	-1.96034	3.06243	-2.72649	-1.93531	2.24429	-2.10607	0.312053	-2.79359	-1.90616	-0.203263	-1.13594	2.94332	-0.342925	-1.77967	-1.48251	-1.45144	0.757231	1.05557	2.17907	1.79701	0.929463	-2.88329	0.173425	-2.15266	0.567529	-1.22105	0.950025	-0.996053	-1.23647	-1.61311	-0.0575634	-0.936497	-0.847134	-0.356003	-2.29863	-2.33215	-2.23297	2.80005
0.092	0.415271	-0.51113	-2.63097	2.4981	-0.538327	2.73451	2.54208	-0.72661	0.847864	-1.75436	-2.32755	-0.479575	0.507777	0.920147	-1.83641	-0.81299	2.16689	-1.25781	-2.31737	-2.13433	-0.341374	2.22802	-1.81471	-2.4432	0.594415	0.251096	-1.13894	-1.68303	0.234645	2.60731	-1.37073	-0.545934	2.58872	-1.20717	2.52316	0.532581	3.06236	2.27432	2.83934	-1.41456	2.27784	2.72669	-0.0453297	2.30065	2.70785	2.88688	1.21481	-0.211121	2.42042	0.659653	0.515873	-0.804393	-2.0681	-2.89338	-2.51795	1.37188	2.60023
0.095	-1.342	2.04845	1.14582	-0.932167	0.149677	-1.12246	-1.24007	2.56919	-2.77539	2.6809	-2.29795	0.0236219	-1.10866	3.01543	-3.06229	-0.971942	-2.84056	-2.94117	0.502846	1.74581	0.133249	-1.54024	-1.4662	-1.82992	-0.411686	2.63482	-1.39436	-1.61982	-0.326122	0.475808	2.87013	-1.31579	-0.327477	-0.238779	1.54384	-0.0547086	-2.7706	0.104024	-0.647205	2.56764	-0.081429	-0.947456	1.28112	-2.06914	2.0721	0.641976	1.93495	0.78262	2.9007	0.858607	-2.96687	-0.601672	0.387822	1.76984	3.01194	2.44485	1.83667
0.098	-0.771382	-1.78052	-1.44467	-0.495189	1.8326	0.849326	1.17131	2.54937	-1.2167	0.208933	1.90478	-2.53693	-2.63795	-2.2526	-2.4052	-0.94376	-2.16377	0.504072	2.96217	1.21286	1.62877	3.06068	-0.195958	0.130855	-1.45846	-2.66834	-1.93641	-2.82989	0.339318	2.66051	2.80876	0.443804	1.90786	0.581842	3.09194	2.96825	0.854558	0.278264	-1.92664	2.37679	-1.92622	2.13426	-0.802717	0.883258	1.03891	-1.60481	-1.56833	-2.38481	3.03873	-0.75986	-2.03406	1.68311	2.83832	0.512319	0.16046	2.54566	-0.214105
