Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
3790	-2.22248	-2.23492	-2.2496	-2.26594	-2.27991	-2.30419	-2.32191	-2.34058	-2.35799	-2.38088	-2.39845	-2.41982	-2.43801	-2.45242	-2.47657	-2.5033	-2.53014	-2.57264	-2.58864	-2.62225	-2.66138	-2.75348	-2.83723	-2.9481	-3.11676	3.00684	2.83365	2.75902	2.68054	2.62171	2.57901	2.52752	2.49432	2.4568	2.43148	2.39182
3795	-2.23276	-2.24903	-2.2556	-2.27748	-2.29719	-2.31627	-2.34041	-2.35749	-2.37674	-2.39806	-2.41991	-2.44093	-2.46069	-2.47406	-2.49811	-2.52979	-2.56046	-2.60282	-2.62141	-2.66015	-2.71697	-2.82362	-2.9214	-3.03178	3.08443	2.94612	2.79802	2.7231	2.65203	2.59446	2.55528	2.51182	2.47615	2.44004	2.41672	2.37814
3800	-2.24832	-2.26464	-2.27378	-2.29347	-2.31173	-2.32955	-2.35554	-2.37354	-2.39706	-2.41974	-2.44053	-2.46251	-2.48535	-2.49949	-2.52702	-2.559	-2.59258	-2.63863	-2.66024	-2.70347	-2.76805	-2.89117	-2.99736	-3.10981	3.01535	2.87991	2.75869	2.69536	2.62434	2.571	2.53228	2.49251	2.45765	2.42331	2.40377	2.36436
3805	-2.25573	-2.26832	-2.2887	-2.29914	-2.32517	-2.34847	-2.37335	-2.39285	-2.417	-2.44029	-2.46367	-2.48792	-2.50871	-2.52356	-2.55195	-2.5887	-2.62318	-2.67421	-2.69669	-2.75661	-2.81994	-2.96338	-3.07123	3.08531	2.95033	2.84025	2.71482	2.66667	2.59933	2.54964	2.51321	2.47311	2.44115	2.40791	2.38936	2.35055
3810	-2.27435	-2.28271	-2.30575	-2.32177	-2.34514	-2.36673	-2.39715	-2.41247	-2.43949	-2.46486	-2.48857	-2.51307	-2.53505	-2.55247	-2.58276	-2.62105	-2.66037	-2.71266	-2.74037	-2.81669	-2.88638	-3.03336	3.13802	3.02159	2.9002	2.80567	2.6865	2.6348	2.57518	2.5285	2.49263	2.45624	2.42456	2.39302	2.37613	2.33726
3815	-2.27977	-2.29737	-2.31726	-2.33282	-2.35993	-2.38476	-2.41564	-2.43628	-2.46219	-2.48877	-2.51433	-2.54181	-2.56307	-2.58256	-2.61629	-2.65508	-2.69675	-2.75594	-2.78417	-2.87737	-2.96296	-3.10019	3.06755	2.96501	2.84785	2.76619	2.66053	2.61275	2.55234	2.50828	2.47419	2.43866	2.40886	2.37914	2.36335	2.32452
3820	-2.29626	-2.31807	-2.34315	-2.35328	-2.37684	-2.40717	-2.43617	-2.45968	-2.48664	-2.51454	-2.54065	-2.56818	-2.59377	-2.61328	-2.64821	-2.69236	-2.73604	-2.79856	-2.83478	-2.939	-3.03127	3.1232	3.00959	2.90933	2.80153	2.73459	2.64148	2.58796	2.53125	2.49023	2.45697	2.42434	2.39486	2.36548	2.35069	2.31334
3825	-2.3132	-2.33171	-2.35571	-2.37488	-2.40056	-2.42836	-2.46068	-2.48162	-2.51251	-2.54284	-2.56826	-2.59807	-2.62507	-2.6476	-2.68376	-2.73138	-2.77421	-2.8411	-2.89573	-2.99521	-3.09381	3.06893	2.95262	2.86432	2.76522	2.70728	2.61837	2.56824	2.51397	2.47466	2.44161	2.40907	2.38263	2.35286	2.33943	2.30249
3830	-2.32986	-2.35424	-2.37093	-2.39183	-2.42215	-2.4518	-2.48251	-2.50659	-2.54072	-2.57012	-2.60046	-2.63148	-2.65797	-2.68232	-2.7213	-2.77042	-2.81987	-2.88817	-2.95137	-3.04903	3.13147	3.01433	2.90609	2.82751	2.73326	2.68328	2.59695	2.54887	2.49783	2.45804	2.42763	2.39596	2.3706	2.34111	2.32826	2.29329
3835	-2.34821	-2.37035	-2.39379	-2.41846	-2.44565	-2.47665	-2.50837	-2.53495	-2.56519	-2.60015	-2.63187	-2.6639	-2.68983	-2.71607	-2.75838	-2.80959	-2.86278	-2.93796	-3.00356	-3.10027	3.07311	2.96457	2.8678	2.79228	2.70655	2.65602	2.57757	2.52998	2.48055	2.4447	2.41261	2.38298	2.35809	2.33082	2.31835	2.28435
3840	-2.36813	-2.38579	-2.41211	-2.43502	-2.47196	-2.49917	-2.53337	-2.56306	-2.59284	-2.62865	-2.65984	-2.69423	-2.72412	-2.75126	-2.79669	-2.84821	-2.90494	-2.98457	-3.05392	3.13303	3.02741	2.92282	2.83281	2.76187	2.68144	2.63302	2.55877	2.5141	2.46489	2.43154	2.39962	2.37068	2.34826	2.31997	2.30936	2.27519
3845	-2.3858	-2.40476	-2.43029	-2.45516	-2.48784	-2.52179	-2.55979	-2.58774	-2.62303	-2.6578	-2.69132	-2.7268	-2.75807	-2.78771	-2.83402	-2.88869	-2.94669	-3.03063	-3.10263	3.08531	2.98719	2.88253	2.80322	2.73436	2.65928	2.61057	2.54155	2.49816	2.44927	2.41924	2.39491	2.35903	2.3404	2.31126	2.29881	2.2671
3850	-2.40368	-2.42408	-2.44717	-2.47591	-2.51568	-2.54925	-2.58501	-2.61491	-2.6497	-2.68661	-2.72253	-2.76069	-2.79292	-2.82437	-2.87073	-2.92889	-2.9882	-3.07394	3.12386	3.04479	2.94948	2.84415	2.77509	2.70981	2.63761	2.59402	2.5229	2.48389	2.43458	2.40717	2.3827	2.35046	2.33079	2.30235	2.29078	2.25782
3855	-2.42001	-2.44195	-2.4751	-2.50156	-2.53381	-2.57474	-2.61323	-2.64334	-2.6801	-2.71761	-2.75405	-2.79303	-2.82626	-2.85982	-2.90625	-2.96595	-3.04135	-3.11499	3.07564	3.00475	2.91189	2.80853	2.74727	2.68783	2.61804	2.57592	2.50803	2.46998	2.42247	2.39449	2.3708	2.3398	2.32119	2.29394	2.28227	2.24938
3860	-2.44184	-2.45799	-2.48958	-2.52349	-2.55886	-2.59496	-2.63483	-2.67004	-2.70664	-2.74684	-2.78166	-2.82528	-2.85995	-2.89459	-2.94195	-3.00236	-3.07864	3.11567	3.03582	2.96827	2.87694	2.77746	2.72502	2.66633	2.59948	2.55762	2.49226	2.45407	2.40829	2.38432	2.35931	2.32883	2.31214	2.28425	2.27284	2.24162
3865	-2.45821	-2.48315	-2.51069	-2.54445	-2.58163	-2.62022	-2.66596	-2.69624	-2.73565	-2.77357	-2.81446	-2.85474	-2.89325	-2.92911	-2.97656	-3.03934	-3.11795	3.0774	2.99834	2.93256	2.84585	2.7498	2.69908	2.64591	2.57956	2.53812	2.4752	2.43909	2.39526	2.37255	2.34857	2.31884	2.30274	2.27476	2.26364	2.23198
3870	-2.46945	-2.50048	-2.52732	-2.55839	-2.60133	-2.64727	-2.68697	-2.72478	-2.76348	-2.80543	-2.84496	-2.88781	-2.92704	-2.9646	-3.01275	-3.07742	3.12391	3.03712	2.96047	2.89766	2.81421	2.71704	2.67373	2.62183	2.55829	2.51827	2.45962	2.4237	2.38253	2.35751	2.33551	2.30618	2.28932	2.26306	2.25314	2.22216
3875	-2.48405	-2.51094	-2.5491	-2.58455	-2.62661	-2.67455	-2.71403	-2.75143	-2.78911	-2.8369	-2.87593	-2.91969	-2.961	-2.99948	-3.05241	-3.11799	3.08046	2.99818	2.92185	2.86302	2.78202	2.6889	2.6484	2.59817	2.53671	2.49838	2.44386	2.40622	2.36721	2.3438	2.32062	2.29316	2.27683	2.2517	2.24104	2.21235
3880	-2.50657	-2.53356	-2.56747	-2.60507	-2.65054	-2.69759	-2.74474	-2.78193	-2.82455	-2.869	-2.91129	-2.9559	-2.99716	-3.03732	-3.09343	3.12442	3.03569	2.95645	2.88355	2.82062	2.74857	2.65946	2.62212	2.57123	2.51482	2.47783	2.42482	2.38884	2.34919	2.32682	2.30425	2.27914	2.26307	2.23826	2.22969	2.20082
3885	-2.5142	-2.55036	-2.59479	-2.6323	-2.67833	-2.72562	-2.77102	-2.81157	-2.85785	-2.90388	-2.94801	-2.99592	-3.03463	-3.07549	-3.13359	3.08226	2.98685	2.91753	2.84577	2.78597	2.71514	2.63119	2.59641	2.54574	2.49129	2.45674	2.40481	2.36966	2.33238	2.31134	2.28773	2.26504	2.24807	2.22498	2.21629	2.18737
3890	-2.54347	-2.57876	-2.61539	-2.65676	-2.70757	-2.75461	-2.80357	-2.84592	-2.89024	-2.94075	-2.98496	-3.03553	-3.07751	-3.11789	3.10308	3.03898	2.94368	2.87606	2.80591	2.75012	2.68258	2.60149	2.56728	2.51994	2.46724	2.43454	2.38592	2.35163	2.31371	2.29516	2.2725	2.24979	2.23381	2.21091	2.20337	2.17414
3895	-2.5629	-2.60117	-2.64578	-2.68775	-2.73464	-2.78617	-2.83798	-2.87993	-2.9267	-2.97784	-3.02545	-3.07665	-3.12003	3.12168	3.06097	2.99347	2.90227	2.83495	2.76359	2.71397	2.65049	2.57201	2.54015	2.49578	2.44321	2.41347	2.36634	2.33173	2.29596	2.2775	2.25691	2.23477	2.21883	2.20005	2.1883	2.16123
3900	-2.58629	-2.62275	-2.66884	-2.71623	-2.7666	-2.82497	-2.87508	-2.91975	-2.96752	-3.01692	-3.06703	-3.11926	3.11931	3.07475	3.0146	2.94633	2.86051	2.79362	2.72398	2.67806	2.61945	2.54449	2.51436	2.47007	2.42172	2.39132	2.34466	2.3142	2.2767	2.26257	2.24055	2.21897	2.20333	2.18574	2.17361	2.14737
3905	-2.61331	-2.65327	-2.70066	-2.75007	-2.80473	-2.86058	-2.91524	-2.95783	-3.00766	-3.05824	-3.11215	3.12128	3.07648	3.03212	2.97025	2.90319	2.81871	2.75424	2.68767	2.64429	2.58789	2.51671	2.48916	2.44478	2.39953	2.37093	2.32531	2.29543	2.25841	2.24513	2.22491	2.2044	2.18635	2.17134	2.16025	2.1355
3910	-2.6384	-2.68145	-2.73182	-2.78188	-2.83798	-2.89691	-2.95495	-2.99843	-3.05213	-3.10341	3.12283	3.07612	3.03162	2.98606	2.92491	2.85787	2.77966	2.71576	2.65061	2.61033	2.55828	2.48997	2.46345	2.42007	2.37699	2.35119	2.30618	2.27684	2.24246	2.22736	2.20979	2.19036	2.17206	2.15718	2.14533	2.12159
3915	-2.67218	-2.71429	-2.77403	-2.81857	-2.88011	-2.93675	-2.99696	-3.04509	-3.09796	3.13318	3.07906	3.02966	2.98281	2.93836	2.87874	2.8165	2.73853	2.67708	2.61563	2.57821	2.52956	2.46355	2.43938	2.39696	2.35508	2.32919	2.28794	2.26008	2.22485	2.21226	2.19296	2.1746	2.15711	2.14214	2.13232	2.10802
3920	-2.70416	-2.75008	-2.80401	-2.86153	-2.92237	-2.98015	-3.04269	-3.08952	3.14095	3.08541	3.03425	2.98464	2.93551	2.89204	2.83511	2.77409	2.69972	2.6426	2.58315	2.54622	2.4997	2.43876	2.41468	2.37372	2.33559	2.30916	2.27024	2.24269	2.2093	2.19618	2.17784	2.16021	2.14248	2.12946	2.11855	2.09589
3925	-2.73926	-2.78911	-2.84298	-2.90152	-2.96317	-3.02436	-3.08875	-3.13705	3.09344	3.0348	2.98344	2.93739	2.88822	2.8472	2.79124	2.7334	2.66225	2.60546	2.55035	2.5168	2.47314	2.41319	2.39195	2.35246	2.31551	2.28979	2.25118	2.22656	2.19394	2.17907	2.16383	2.14588	2.12904	2.11648	2.10558	2.08399
3930	-2.76973	-2.82388	-2.89078	-2.94616	-3.00882	-3.07369	-3.13643	3.09801	3.04781	2.98829	2.93835	2.89114	2.8424	2.8019	2.75004	2.69277	2.62502	2.57098	2.51951	2.48755	2.44557	2.38813	2.36613	2.33051	2.29584	2.27111	2.23396	2.21045	2.1773	2.16607	2.14964	2.13353	2.1162	2.10327	2.09234	2.07267
3935	-2.80597	-2.86338	-2.92818	-2.9954	-3.0578	-3.11916	3.09874	3.05095	2.99972	2.93968	2.89354	2.84604	2.79834	2.76008	2.70937	2.65402	2.59192	2.53589	2.491	2.45987	2.42078	2.36746	2.34471	2.31062	2.27765	2.25437	2.21888	2.19411	2.16451	2.15145	2.1359	2.12023	2.10401	2.09092	2.08142	2.06033
3940	-2.85493	-2.91165	-2.97372	-3.04093	-3.1058	3.11265	3.05065	2.99959	2.94809	2.89196	2.84454	2.80253	2.75544	2.7185	2.66976	2.61726	2.55904	2.50487	2.4632	2.43483	2.39751	2.34463	2.32574	2.29154	2.25951	2.23833	2.20205	2.17952	2.15092	2.13849	2.12359	2.10841	2.09122	2.08087	2.06974	2.05059
3945	-2.89529	-2.95916	-3.02044	-3.08849	3.12998	3.061	2.9997	2.9541	2.89802	2.84626	2.80349	2.76178	2.71435	2.67984	2.63128	2.58487	2.52662	2.47652	2.43807	2.4088	2.37418	2.32358	2.30641	2.2733	2.24074	2.22214	2.18784	2.16395	2.13809	2.12572	2.1112	2.09691	2.08046	2.0703	2.05866	2.03998
3950	-2.94622	-3.00202	-3.07374	-3.13549	3.07869	3.01404	2.95329	2.90504	2.8527	2.8018	2.76152	2.71973	2.67459	2.64022	2.59638	2.55053	2.49827	2.45102	2.41357	2.38585	2.35354	2.30578	2.28748	2.25498	2.22842	2.20657	2.17522	2.15199	2.12425	2.11289	2.09919	2.08535	2.07004	2.06121	2.04889	2.03211
3955	-2.98882	-3.0521	-3.12566	3.09716	3.02936	2.9675	2.90967	2.85955	2.81206	2.76187	2.72111	2.67973	2.63897	2.60533	2.56348	2.51263	2.47165	2.42347	2.38947	2.363	2.33188	2.28686	2.27091	2.23989	2.2129	2.19157	2.16174	2.13902	2.11345	2.10335	2.08947	2.07548	2.05995	2.05236	2.04093	2.02279
3960	-3.03739	-3.10245	3.11001	3.0472	2.97938	2.91774	2.86279	2.81527	2.7704	2.72073	2.68377	2.6442	2.60311	2.5725	2.53255	2.4832	2.44471	2.40122	2.36996	2.34347	2.31571	2.26957	2.25525	2.22533	2.19974	2.17883	2.1509	2.13236	2.1025	2.09363	2.08086	2.06767	2.05286	2.04614	2.0336	2.01783
3965	-3.08452	3.12912	3.06233	3.00244	2.93412	2.87416	2.82034	2.77388	2.72975	2.68344	2.64704	2.61031	2.57226	2.54091	2.50364	2.45606	2.4215	2.37662	2.34838	2.32452	2.29679	2.25346	2.24034	2.20951	2.18715	2.16806	2.13919	2.1206	2.09143	2.0822	2.06901	2.05808	2.04332	2.03641	2.02542	2.00827
3970	-3.13643	3.0826	3.01739	2.9545	2.89075	2.82882	2.77747	2.73526	2.69312	2.6487	2.61316	2.57702	2.54125	2.51287	2.47648	2.43064	2.39709	2.35441	2.32725	2.3053	2.27975	2.23691	2.22386	2.19805	2.17295	2.15567	2.1281	2.10983	2.08027	2.0717	2.06034	2.04752	2.03436	2.02635	2.01716	1.99983
3975	3.09981	3.03842	2.97013	2.91163	2.84688	2.78766	2.73828	2.69767	2.65744	2.61559	2.58033	2.54685	2.51215	2.4849	2.45216	2.40695	2.37503	2.33481	2.30992	2.28917	2.264	2.22309	2.21207	2.18423	2.16008	2.14334	2.1163	2.10001	2.07259	2.06084	2.05125	2.03983	2.02508	2.0206	2.00913	1.99267
3980	3.05494	2.99639	2.92723	2.86919	2.8105	2.75202	2.70143	2.66228	2.62491	2.5843	2.55225	2.51746	2.48834	2.45921	2.42838	2.38524	2.35458	2.31514	2.29451	2.27292	2.25062	2.21045	2.19809	2.17227	2.14975	2.13444	2.10707	2.09091	2.06391	2.05281	2.04297	2.03136	2.01933	2.01391	2.00355	1.98652
3985	3.01441	2.95041	2.88509	2.8305	2.77241	2.7162	2.67003	2.63203	2.59639	2.55629	2.52477	2.49392	2.46221	2.43649	2.40478	2.36455	2.33665	2.29797	2.27644	2.25691	2.23581	2.19696	2.18603	2.15994	2.13958	2.12431	2.09841	2.08134	2.05504	2.04581	2.03641	2.02534	2.01335	2.0072	1.99718	1.98031
3990	2.97283	2.91176	2.84735	2.79069	2.73742	2.68452	2.63922	2.60222	2.56924	2.53083	2.49738	2.4681	2.44085	2.4133	2.38369	2.34652	2.31822	2.28244	2.26149	2.24158	2.22237	2.18535	2.17482	2.14937	2.12965	2.11394	2.08979	2.073	2.04767	2.03733	2.0291	2.01786	2.00641	2.00208	1.99064	1.97519
3995	2.93616	2.8772	2.8138	2.75808	2.7076	2.65351	2.60927	2.57383	2.54182	2.50331	2.47475	2.44579	2.4178	2.39226	2.36494	2.32743	2.29971	2.26697	2.24786	2.23025	2.20957	2.17279	2.16284	2.13928	2.11849	2.10544	2.08083	2.06507	2.03995	2.02924	2.02069	2.0106	1.99909	1.99361	1.98471	1.96796
4000	2.89774	2.83473	2.77866	2.72705	2.67346	2.62435	2.58379	2.54634	2.51658	2.48016	2.45141	2.4229	2.39557	2.37214	2.3433	2.30872	2.2856	2.25392	2.23303	2.21493	2.19684	2.16354	2.15164	2.12857	2.10875	2.09683	2.07157	2.05756	2.03202	2.02224	2.01343	2.00415	1.99323	1.98787	1.97736	1.9613
